reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg1,1bno.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,5o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,8o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,11o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,12o.relative_year_bin_aux,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,1.06931077329e-13,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,3.76165211382e-21,-5.83752090091e-18,5.19682976329e-20,-1.25820681766e-19,1.41826437075e-18,-3.32601989013e-19,-3.99963819289e-19,-3.47899081485e-19,-2.24743792562e-19,-4.60345182931e-19,-3.62121609901e-19,-4.54793642859e-19,-4.12257364381e-19
evreg1,av_wind_speed,-8.54490819163e-11,.092578548212351,0,0,0,0,0,0,0,0,0,0,0,0,-5.83752090091e-18,1.43771820227e-14,-3.38146363836e-16,-1.88105866660e-16,1.94368607304e-16,7.32202036981e-16,1.84741706685e-16,-2.07253404618e-16,9.51187661388e-17,2.38092637443e-16,5.88135137022e-16,8.32724023134e-16,1.23604815627e-16
