reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29
evreg2,av_wind_speed,88.0179041159894,473.1087377897488,0,0,0,0,0,0,0,0,-.0074070590089804,8.288353754494558,.2237192183292579,.3409849265852938,.5966041722420474,-.3767967602310161,-.0317517928412321,.1545716541132632,-.1423248358288912,.0684440319430839,.3949456831751209,-.0949188639365127,.7493464996575545,1.292946167617472,0,.2432098153960395,1.259541443037738,-.7990189572773317,1.019100439291534,3.779579864886582,1.826905468754852
evreg2,1bn.relative_year_bin_aux#1.treat,-.4590911853591846,473.1087377897488,0,0,0,0,0,0,0,0,.0015245737884009,.2237192183292579,26.99050182577249,16.20751303166698,6.38663190732523,15.16004402223798,8.019199701224895,7.801057127272476,.5753862029524229,.6068661858797764,.6128859834267412,.3463273380269437,.1129553920434431,.0418502043219689,0,-27.21633116170799,-16.48479075739474,-6.738299844449431,-14.87223572764939,-7.852181665068141,-7.531648289120136
evreg2,2.relative_year_bin_aux#1.treat,-5.353014441989578,473.1087377897488,0,0,0,0,0,0,0,0,.0016204451039994,.3409849265852938,16.20751303166698,30.27432910620436,5.124151127490508,22.0865149242881,13.81415511636695,12.50055107602227,.2904657441925637,.6800276465876421,.8274469675985537,.288600102803407,.3515571656337151,.0911942768469929,0,-16.67207076379502,-30.4369844761578,-5.437285856813747,-21.66980545097305,-13.24979753351002,-12.01223968101621
evreg2,3.relative_year_bin_aux#1.treat,-4.643154792038782,473.1087377897488,0,0,0,0,0,0,0,0,.0006665699516574,.5966041722420474,6.38663190732523,5.124151127490508,19.91036997949135,-4.438840449353346,-.3218666004329658,-2.855027887905173,.7167243325292414,.9175655869094094,1.135305800008693,.9772841934376448,.7077412832325686,.5134139450117593,0,-6.728601602301105,-5.348182179011062,-19.91088775765679,4.630788402261875,.7135791172215242,3.202907267968904
evreg2,5.relative_year_bin_aux#1.treat,-10.48483962221161,473.1087377897488,0,0,0,0,0,0,0,0,-.0004628019693872,-.3767967602310161,15.16004402223798,22.0865149242881,-4.438840449353346,50.12071730748948,17.81166908391901,24.94948809143179,-.0382667398052527,.2850568181166195,.9145787358840723,.8314277621979161,1.145827883695442,.4772651729065145,0,-15.38910575610346,-22.02912381522368,4.498158016369215,-49.26749377983929,-16.67120716345673,-24.1060841225134
evreg2,6.relative_year_bin_aux#1.treat,-.5813114577852208,473.1087377897488,0,0,0,0,0,0,0,0,.0006266092416216,-.0317517928412321,8.019199701224895,13.81415511636695,-.3218666004329658,17.81166908391901,57.69520030534676,21.26419256053488,-.6005842291754896,.0498876591413525,.3221229509149782,1.003278103226323,1.436641457992446,-1.04040956830733,0,-9.496804780249839,-14.14862511102491,.5930246732486014,-16.69938464619552,-50.83580160794665,-16.88727014673951
evreg2,7.relative_year_bin_aux#1.treat,29.04259549849647,473.1087377897488,0,0,0,0,0,0,0,0,-.0048192406590393,.1545716541132632,7.801057127272476,12.50055107602227,-2.855027887905173,24.94948809143179,21.26419256053488,239.3134457765351,-.2774346891948282,.0966754508934752,.4104502148030539,.7819261971940044,.2162524915969806,49.32378402458841,0,-8.400017221147897,-12.61388067630292,3.039750890124452,-24.22255639067461,-18.42479279976859,-237.9196232369196
evreg2,1bn.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,23.97474823151683,473.1087377897488,0,0,0,0,0,0,0,0,.0000699728052471,-.1423248358288912,.5753862029524229,.2904657441925637,.7167243325292414,-.0382667398052527,-.6005842291754896,-.2774346891948282,4.277144850234752,3.299529458838256,2.682028200983973,1.199748186175545,-1.001567165347618,-.7973487373892809,0,-.9144533753388564,-.4345544322460682,-1.088820779224106,-.4584564956572703,-.0413142828401933,.4980350534283751
evreg2,2.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,31.78809768465168,473.1087377897488,0,0,0,0,0,0,0,0,-.0018344740934277,.0684440319430839,.6068661858797764,.6800276465876421,.9175655869094094,.2850568181166195,.0498876591413525,.0966754508934752,3.299529458838256,4.347189668376013,2.79052530088082,1.684659401305306,.5817884262648306,-.2161152344603185,0,-.7970151617961458,-1.092334074297982,-1.31248873266867,-.8345833622389113,-1.074806957625807,.1124453106639477
evreg2,3.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,13.53734795827994,473.1087377897488,0,0,0,0,0,0,0,0,.0012614861494805,.3949456831751209,.6128859834267412,.8274469675985537,1.135305800008693,.9145787358840723,.3221229509149782,.4104502148030539,2.682028200983973,2.79052530088082,4.546982988057537,2.164901584781522,.4099178367800008,-.0310624536657023,0,-.9042786537421301,-1.146261324178498,-1.767054718254356,-1.49935160786945,-.9353424125187864,-.0713034026099713
evreg2,5.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,12.2821202248881,473.1087377897488,0,0,0,0,0,0,0,0,-.0006187216486763,-.0949188639365127,.3463273380269437,.288600102803407,.9772841934376448,.8314277621979161,1.003278103226323,.7819261971940044,1.199748186175545,1.684659401305306,2.164901584781522,4.261019929104815,2.147356814490569,2.697187088202166,0,-.6983806792639367,-.711287457052426,-1.399131622749897,-1.926916243537755,-1.987971578045526,-1.563591928102966
evreg2,6.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,14.238641117716,473.1087377897488,0,0,0,0,0,0,0,0,-.0002657016092496,.7493464996575545,.1129553920434431,.3515571656337151,.7077412832325686,1.145827883695442,1.436641457992446,.2162524915969806,-1.001567165347618,.5817884262648306,.4099178367800008,2.147356814490569,11.67607332025055,-8.161766763007732,0,.4231336170218564,-.8854254039624685,-1.221662493874147,-2.701767763521677,-8.148231640592757,5.880887210950431
evreg2,7.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,-111.3777468293904,473.1087377897488,0,0,0,0,0,0,0,0,.0034405818833797,1.292946167617472,.0418502043219689,.0911942768469929,.5134139450117593,.4772651729065145,-1.04040956830733,49.32378402458841,-.7973487373892809,-.2161152344603185,-.0310624536657023,2.697187088202166,-8.161766763007732,315.4626269414335,0,.6771180544782923,.5063102342831659,-.2395997353270992,-1.429865159850403,4.745219153306318,-271.5756073547878
evreg2,1o.treat#1o.rice_prod_aclvl_ahigh,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1bn.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,-34.3491756069814,473.1087377897488,0,0,0,0,0,0,0,0,-.0090429792535381,.2432098153960395,-27.21633116170799,-16.67207076379502,-6.728601602301105,-15.38910575610346,-9.496804780249839,-8.400017221147897,-.9144533753388564,-.7970151617961458,-.9042786537421301,-.6983806792639367,.4231336170218564,.6771180544782923,0,215.4556156603263,63.58792372885473,72.53262409701384,-12.1254972636385,-80.98418974673638,-37.72970010177271
evreg2,2.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,-1.138485185641446,473.1087377897488,0,0,0,0,0,0,0,0,-.0030765373195917,1.259541443037738,-16.48479075739474,-30.4369844761578,-5.348182179011062,-22.02912381522368,-14.14862511102491,-12.61388067630292,-.4345544322460682,-1.092334074297982,-1.146261324178498,-.711287457052426,-.8854254039624685,.5063102342831659,0,63.58792372885473,146.9280909080062,61.97635393082285,38.257806903818,43.22411081258542,27.92486639624987
evreg2,3.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,22.10276839159838,473.1087377897488,0,0,0,0,0,0,0,0,-.0105151677453245,-.7990189572773317,-6.738299844449431,-5.437285856813747,-19.91088775765679,4.498158016369215,.5930246732486014,3.039750890124452,-1.088820779224106,-1.31248873266867,-1.767054718254356,-1.399131622749897,-1.221662493874147,-.2395997353270992,0,72.53262409701384,61.97635393082285,147.7387669625908,8.15999189681164,82.54672402939499,31.35130605168161
evreg2,5.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,36.82819992830116,473.1087377897488,0,0,0,0,0,0,0,0,.0044370142857383,1.019100439291534,-14.87223572764939,-21.66980545097305,4.630788402261875,-49.26749377983929,-16.69938464619552,-24.22255639067461,-.4584564956572703,-.8345833622389113,-1.49935160786945,-1.926916243537755,-2.701767763521677,-1.429865159850403,0,-12.1254972636385,38.257806903818,8.15999189681164,181.9830170848474,198.6372362901014,141.0315942816505
evreg2,6.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,130.6049171752505,473.1087377897488,0,0,0,0,0,0,0,0,-.0085236541575828,3.779579864886582,-7.852181665068141,-13.24979753351002,.7135791172215242,-16.67120716345673,-50.83580160794665,-18.42479279976859,-.0413142828401933,-1.074806957625807,-.9353424125187864,-1.987971578045526,-8.148231640592757,4.745219153306318,0,-80.98418974673638,43.22411081258542,82.54672402939499,198.6372362901014,906.9190680560273,401.1929858713127
evreg2,7.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,37.241243132873,473.1087377897488,0,0,0,0,0,0,0,0,-.0005277201503947,1.826905468754852,-7.531648289120136,-12.01223968101621,3.202907267968904,-24.1060841225134,-16.88727014673951,-237.9196232369196,.4980350534283751,.1124453106639477,-.0713034026099713,-1.563591928102966,5.880887210950431,-271.5756073547878,0,-37.72970010177271,27.92486639624987,31.35130605168161,141.0315942816505,401.1929858713127,857.2519264984322
evreg3,1bno.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,2o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,3o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,5o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,6o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,7o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,1o.treat,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,1o.moderator,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,wind_direction,-.1395722856816422,473.1087377897488,0,0,0,0,0,0,0,0,.0000536936643489,.0230205268425833,.0012528385694038,.0008969961310975,.0014898302313893,-.0009099693807322,.001034821644863,-.0003362607849726,-.0028688825088263,-.0035275408743614,-.0013411633791319,-.0005708512602352,.0043180491621078,.0069604384200131,0,.0002915872365807,.001340229540303,-.0003456520844384,.0019682439127558,-.0000341397801259,-.0001393885365139
evreg3,av_wind_speed,-97.76499446961286,473.1087377897488,0,0,0,0,0,0,0,0,.0230205268425833,27.70681013948872,.0643647206505651,-.5467402662086776,.2018567710496958,-.4125270029964514,.1643081983205626,-.4376913005194042,-1.553224959804328,-1.567049936555799,-1.040392792336265,.4076112691869003,2.717107402272717,6.314462379926952,0,.6306910366023641,2.636286465270582,-.5279597079108476,2.201133921212762,-.6988643457584799,.0795277277229937
evreg3,1bn.relative_year_bin_aux#1.treat,-1.466782975594892,473.1087377897488,0,0,0,0,0,0,0,0,.0012528385694038,.0643647206505651,22.6843512755771,15.29408364021788,8.192866348992011,13.14542348889171,5.757070998478305,6.200760236485311,.4811481081644908,.5161719247082971,.4400563118960626,.5949056131622403,.2716643847621841,.1650721740121557,0,-22.9282877906285,-15.56225707671398,-8.531895738427909,-12.66676458868598,-5.51009835927806,-5.834797751567169
evreg3,2.relative_year_bin_aux#1.treat,-3.726707514589343,473.1087377897488,0,0,0,0,0,0,0,0,.0008969961310975,-.5467402662086776,15.29408364021788,26.43182207414683,5.088944657447445,19.89913607904169,11.64697897882395,10.87166570782923,.2840705008120203,.7706492993567454,.8579359509395166,.4745697790282805,.6410202768160316,.1113886163346527,0,-15.76475133863605,-26.55648973498946,-5.370846153320925,-19.32416396077294,-10.95380279973708,-10.25566268346344
evreg3,3.relative_year_bin_aux#1.treat,-7.654056402533085,473.1087377897488,0,0,0,0,0,0,0,0,.0014898302313893,.2018567710496958,8.192866348992011,5.088944657447445,19.1365305679876,-1.372541180527738,.1219197625299336,-1.527754403357466,.6024535344999447,.9155373524238867,1.11750248603759,1.031500316029924,.7875659379597035,.5098485954060922,0,-8.576382229627525,-5.31564150286463,-19.17534305007357,1.638179186460347,.4156107929173893,1.946765296846276
evreg3,5.relative_year_bin_aux#1.treat,-10.37517305541352,473.1087377897488,0,0,0,0,0,0,0,0,-.0009099693807322,-.4125270029964514,13.14542348889171,19.89913607904169,-1.372541180527738,45.3641606584474,11.72889718866547,21.03700765967305,.1084257107786909,.3422455948515479,.8753785595951463,.8566433529025511,1.400522817376143,.4782885120656916,0,-13.40073994684866,-19.78575148560667,1.37606840368728,-44.40650002382703,-10.36439468442529,-20.07470244570558
evreg3,6.relative_year_bin_aux#1.treat,3.538405266866925,473.1087377897488,0,0,0,0,0,0,0,0,.001034821644863,.1643081983205626,5.757070998478305,11.64697897882395,.1219197625299336,11.72889718866547,59.19399301293961,19.05036386484369,-.4854852426342181,.1959844763783835,.3428500166786948,1.082333882868574,1.988898046213707,-.3136066425595043,0,-7.359922744925521,-12.03365367873953,.1588752125780964,-10.52642234323866,-51.70286937286796,-14.52206419468271
evreg3,7.relative_year_bin_aux#1.treat,22.04076855939707,473.1087377897488,0,0,0,0,0,0,0,0,-.0003362607849726,-.4376913005194042,6.200760236485311,10.87166570782923,-1.527754403357466,21.03700765967305,19.05036386484369,270.6423631910089,-.1375019743232692,.2075538861372687,.4482878574538384,.8354626828818738,.583156898545411,57.23335251510316,0,-6.931295635543154,-11.00123790671934,1.607626969303497,-20.24953573232652,-15.7284439939951,-270.3821994115066
evreg3,1bn.relative_year_bin_aux#1.moderator,31.59987347105547,473.1087377897488,0,0,0,0,0,0,0,0,-.0028688825088263,-1.553224959804328,.4811481081644908,.2840705008120203,.6024535344999447,.1084257107786909,-.4854852426342181,-.1375019743232692,4.062840573352757,3.177706357062009,2.675023547120572,1.314081040312545,-.9655659942889888,-1.051061035920607,0,-.6115747919853534,-.3356924212596925,-.7938749857798469,-.6902537245933662,-.3631500811411619,.2932516585197357
