fe_id,control_sample,version,time,beta,se,lower,upper
1,never,original,-8,67.3421369733377,11.6863362271552,44.4369179681135,90.247355978562
1,never,original,-7,51.4438035360825,11.5545872756198,28.7968124758678,74.0907945962972
1,never,original,-6,36.6782250862219,11.399494367162,14.3352161265844,59.0212340458595
1,never,original,-5,72.233398755324,13.6913295274441,45.3983928815336,99.0684046291145
1,never,original,-4,47.8734774404367,14.8189342419904,18.8283663261355,76.9185885547379
1,never,original,-3,-10.3268769563048,8.92476296659992,-27.8194123708406,7.16565845823102
1,never,original,-2,-2.06037074383684,10.8301640021931,-23.2874921881354,19.1667507004617
1,never,original,-1,0,0,0,0
1,never,original,0,57.765439053797,9.99659992781032,38.1721031952888,77.3587749123052
1,never,original,1,49.439889043623,27.1505480852121,-3.77518520339271,102.654963290639
1,never,rotated,-8,-1.32230343401872,11.6863362271552,-24.227522439243,21.5829155712055
1,never,rotated,-7,-7.41143109879443,11.5545872756198,-30.0584221590092,15.2355599614203
1,never,rotated,-6,-12.3678037761755,11.399494367162,-34.710812735813,9.97520518346203
1,never,rotated,-5,32.996575665406,13.6913295274441,6.16156979161558,59.8315815391965
1,never,rotated,-4,18.4458601229983,14.8189342419904,-10.5992509913029,47.4909712372995
1,never,rotated,-3,-29.9452885012638,8.92476296659992,-47.4378239157996,-12.452753086728
1,never,rotated,-2,-11.8695765163163,10.8301640021931,-33.0966979606149,9.35754492798219
1,never,rotated,-1,0,0,0,0
1,never,rotated,0,67.5746448262765,9.99659992781032,47.9813089677683,87.1679806847847
1,never,rotated,1,69.058300588582,27.1505480852121,15.8432263415663,122.273374835598
2,never,original,-8,59.8677497790314,11.1318322453613,38.0493585781233,81.6861409799395
2,never,original,-7,48.2469051324796,11.0252706304342,26.6373746968287,69.8564355681306
2,never,original,-6,37.3772362129216,10.8603138947862,16.0910209791405,58.6634514467026
2,never,original,-5,60.2781341516316,12.9545147416647,34.8872852579689,85.6689830452944
2,never,original,-4,41.6326567945357,14.023678010788,14.1462478933913,69.1190656956802
2,never,original,-3,-13.6427842707734,8.46532019378678,-30.2348118505954,2.94924330904875
2,never,original,-2,-13.0719744928779,9.73807508714438,-32.1586016636809,6.0146526779251
2,never,original,-1,0,0,0,0
2,never,original,0,49.2182081648312,9.76220555092266,30.0842852850228,68.3521310446397
2,never,original,1,39.7113144306052,25.8770541520471,-11.0077117074072,90.4303405686175
2,never,rotated,-8,-1.18699143438931,11.1318322453613,-23.0053826352974,20.6313997665188
2,never,rotated,-7,-4.08573019330956,11.0252706304342,-25.6952606289605,17.5238002423414
2,never,rotated,-6,-6.23329322523611,10.8603138947862,-27.5195084590172,15.0529220085449
2,never,rotated,-5,25.3897106011055,12.9545147416647,-0.00113829255725051,50.7805594947682
2,never,rotated,-4,15.4663391316411,14.023678010788,-12.0200697695033,42.9527480327856
2,never,rotated,-3,-31.0869960460364,8.46532019378678,-47.6790236258585,-14.4949684662143
2,never,rotated,-2,-21.7940803805094,9.73807508714438,-40.8807075513124,-2.70745320970644
2,never,rotated,-1,0,0,0,0
2,never,rotated,0,57.9403140524628,9.76220555092266,38.8063911726544,77.0742369322712
2,never,rotated,1,57.1555262058682,25.8770541520471,6.43650006785586,107.874552343881
3,never,original,-8,27.8805166943693,11.2017807507887,5.92502642282342,49.8360069659153
3,never,original,-7,17.7049875512283,11.4331750420692,-4.70403553122729,40.1140106336839
3,never,original,-6,8.55775945173394,10.9820550974445,-12.9670685392573,30.0825874427252
3,never,original,-5,49.7593145209111,13.4711379795779,23.3558840809384,76.1627449608838
3,never,original,-4,31.014708633574,14.6147654210408,2.36976840833402,59.659648858814
3,never,original,-3,-21.5826514440906,8.71665526746461,-38.6672957683213,-4.49800711985997
3,never,original,-2,-7.67104638147051,10.7336886679914,-28.7090761707336,13.3669834077926
3,never,original,-1,0,0,0,0
3,never,original,0,63.4512775051635,10.0786632711187,43.6970974937708,83.2054575165562
3,never,original,1,60.2115591100871,26.8261886996022,7.63222925886673,112.790888961307
3,never,rotated,-8,-1.39085201269764,11.2017807507887,-23.3463422842436,20.5646382588483
3,never,rotated,-7,-7.38475705482911,11.4331750420692,-29.7937801372847,15.0242660276265
3,never,rotated,-6,-12.3503610533139,10.9820550974445,-33.8751890443051,9.17446693767734
3,never,rotated,-5,33.0328181168728,13.4711379795779,6.62938767690012,59.4362485568456
3,never,rotated,-4,18.4698363305453,14.6147654210408,-10.1751038946947,47.1147765557853
3,never,rotated,-3,-29.9458996461098,8.71665526746461,-47.0305439703404,-12.8612553218791
3,never,rotated,-2,-11.8526704824801,10.7336886679914,-32.8907002717432,9.18535930678301
3,never,rotated,-1,0,0,0,0
3,never,rotated,0,67.6329016061731,10.0786632711187,47.8787215947804,87.3870816175658
3,never,rotated,1,68.5748073121062,26.8261886996022,15.9954774608859,121.154137163327
4,never,original,-8,65.0751059061046,11.6986859834586,42.1456813785258,88.0045304336834
4,never,original,-7,50.0020692210538,11.558072154196,27.3482477988296,72.655890643278
