fe_id,control_sample,version,period,estimate,se,lower,upper
1,never,original,pre,37.5976848701802,9.32224592909313,19.3260828491576,55.8692868912027
1,never,original,post,53.60266404871,16.9076824045937,20.4636065357064,86.7417215617137
1,never,rotated,pre,-1.63913821973778,1.95646248418421,-5.47380468873884,2.19552824926328
1,never,rotated,post,68.3164727074293,18.9028722415962,31.2668431139008,105.366102300958
2,never,original,pre,31.526846186707,8.70414418342438,14.4667235871952,48.5869687862187
2,never,original,post,44.4647612977182,16.0706362143191,12.9663143176528,75.9632082777837
2,never,rotated,pre,-3.36157736381917,1.80892837544691,-6.90707697969512,0.18392225205677
2,never,rotated,post,57.5479201291655,17.8693558777042,22.5239826088653,92.5718576494658
3,never,original,pre,15.0947984323222,8.95730107868248,-2.46151168189543,32.6511085465399
3,never,original,post,61.8314183076253,16.8478003147968,28.8097296906235,94.8531069246271
3,never,rotated,pre,-1.63169797171605,1.96087983161543,-5.4750224416823,2.2116264982502
3,never,rotated,post,68.1038544591397,18.7677560177491,31.3190526643514,104.888656253928
4,never,original,pre,35.9910128799051,9.32740459617293,17.7092998714062,54.2727258884041
4,never,original,post,51.8845284104315,16.859200007846,18.8404963950534,84.9285604258096
4,never,rotated,pre,-2.02874190105352,1.94910938862757,-5.84899630276356,1.79151250065652
4,never,rotated,post,66.141936453291,18.8713342505302,29.1541213222519,103.12975158433
5,never,original,pre,7.43934540195574,8.86816925256578,-9.94226633307319,24.8209571369847
5,never,original,post,89.3274650888553,16.1319559016757,57.7088315215709,120.94609865614
5,never,rotated,pre,-2.96965942121521,1.91766804495252,-6.72828878932216,0.788969946891737
5,never,rotated,post,93.2308418975444,18.070015020764,57.8136124568469,128.648071338242
6,never,original,pre,35.6384775796748,8.19519277098051,19.575899748553,51.7010554107966
6,never,original,post,70.3653751654548,14.8667773712329,41.2264915178383,99.5042588130714
6,never,rotated,pre,6.82646172562577,1.78010474791386,3.33745641971461,10.3154670315369
6,never,rotated,post,81.1698811107232,16.7117769510141,48.4147982867355,113.924963934711
7,never,original,pre,8.68537205338384,8.40525212881455,-7.78892211909267,25.1596662258604
7,never,original,post,53.2684701360867,16.0140391060741,21.8809534881816,84.6559867839919
7,never,rotated,pre,-3.3596672442282,1.82025327146979,-6.92736365630899,0.208029167852591
7,never,rotated,post,57.7853598726913,17.7577478086559,22.9801741677256,92.5905455776569
8,never,original,pre,30.1262098888121,8.68796809147071,13.0977924295295,47.1546273480947
8,never,original,post,42.8977289914037,16.0857091264824,11.3697391034982,74.4257188793093
8,never,rotated,pre,-3.66559604515689,1.79659874046617,-7.18692957647058,-0.144262513843203
8,never,rotated,post,55.5696562166421,17.8913043367385,20.5026997166347,90.6366127166495
9,never,original,pre,2.74667073300139,8.36234460381022,-13.6435246904666,19.1368661564694
9,never,original,post,82.7252195135164,15.3343238616636,52.6699447446558,112.780494282377
9,never,rotated,pre,-3.67037727548433,1.79878006469615,-7.19598620228878,-0.144768348679876
9,never,rotated,post,85.1316125166986,17.1045741882773,51.6066471076751,118.656577925722
10,never,original,pre,34.7469201548112,7.76608070071985,19.5254019814003,49.9684383282221
10,never,original,post,72.5199819525472,14.1175741576727,44.8495366035087,100.190427301586
10,never,rotated,pre,6.89925027417883,1.66177828617748,3.64216483327097,10.1563357150867
10,never,rotated,post,82.9628581577843,15.8129063618942,51.9695616884716,113.956154627097
11,never,original,pre,13.4734944069096,8.96937091063955,-4.10647257794396,31.0534613917631
11,never,original,post,59.5444573392814,16.820677359375,26.5759297149064,92.5129849636563
11,never,rotated,pre,-2.01077761179638,1.9559896705771,-5.84451736612748,1.82296214253473
11,never,rotated,post,65.3510593462961,18.7570256270179,28.5872891173409,102.114829575251
12,never,original,pre,27.2800777808732,8.5690873002057,10.48466667247,44.0754888892763
12,never,original,post,85.8067448580507,15.7875960619076,54.8630565767119,116.75043313939
12,never,rotated,pre,0.189809341680918,1.82126997281276,-3.37987980503209,3.75949848839392
12,never,rotated,post,95.9655955227478,17.7181426190893,61.2380359893327,130.693155056163
13,never,original,pre,35.4525942493207,8.18909291044336,19.4019721448517,51.5032163537897
13,never,original,post,71.0566195798345,14.9658555312118,41.7235427386593,100.38969642101
13,never,rotated,pre,6.86614821739743,1.77480675509175,3.3875269774176,10.3447694573773
13,never,rotated,post,81.7765368418058,16.816741093807,48.8157242979441,114.737349385667
14,never,original,pre,6.77301810744719,8.91711517386833,-10.7045276333347,24.2505638482291
14,never,original,post,87.9327348826928,16.2053338891267,56.1702804600044,119.695189305381
14,never,rotated,pre,-3.15587143930911,1.93054972184826,-6.9397488941317,0.628006015513471
14,never,rotated,post,91.6560684627264,18.159863858076,56.0627353008974,127.249401624555
15,never,original,pre,35.6384775759268,8.19519244052874,19.5759003924904,51.7010547593631
15,never,original,post,70.3653751614867,14.8667775916011,41.2264910819485,99.5042592410249
15,never,rotated,pre,6.82646172489014,1.78010470456984,3.33745650393324,10.315466945847
15,never,rotated,post,81.1698811056254,16.7117769798484,48.4147982251225,113.924963986128
16,never,original,pre,35.6384775738909,8.19519913231379,19.5758872745558,51.7010678732259
16,never,original,post,70.3653751591895,14.8667889112531,41.2264688931333,99.5042814252456
16,never,rotated,pre,6.82646172448062,1.7801061296899,3.33745371028841,10.3154697386728
16,never,rotated,post,81.1698811027183,16.7117899231705,48.4147728533042,113.924989352132
17,never,original,pre,7.50213813068547,8.39965431972411,-8.96118433597378,23.9654605973447
17,never,original,post,51.281102126912,16.0518000183865,19.8195740908743,82.7426301629496
17,never,rotated,pre,-3.60945457927256,1.81092488567114,-7.15886735518799,-0.0600418033571359
17,never,rotated,post,55.4479493931462,17.8073989696388,20.5454474126541,90.3504513736383
18,never,original,pre,23.3613307565925,8.14395765842802,7.3991737460736,39.3234877671115
18,never,original,post,79.3677954025428,15.0171100713554,49.9342596626862,108.801331142399
18,never,rotated,pre,-0.796243582767624,1.70965396944305,-4.14716536287601,2.55467819734076
18,never,rotated,post,88.4268857798028,16.8088357614594,55.4815676873423,121.372203872263
19,never,original,pre,34.74033681912,7.76603415843853,19.5189098685804,49.9617637696595
19,never,original,post,72.5088811599325,14.1174348839589,44.8387087873731,100.179053532492
19,never,rotated,pre,6.89749461259815,1.66176348756571,3.64043817696936,10.1545510482269
19,never,rotated,post,82.9499469873782,15.8127633836115,51.9569307554996,113.942963219257
20,never,original,pre,0.945713656363091,8.36443035895625,-15.4485698471912,17.3399971599173
20,never,original,post,79.3380589795868,15.4456527753302,49.0645795399396,109.611538419234
20,never,rotated,pre,-4.14356815403058,1.79397505181428,-7.65975925558657,-0.627377052474587
20,never,rotated,post,81.2465396584844,17.2254658620393,47.4846265688874,115.008452748081
21,never,original,pre,34.7469777609715,7.76614201202158,19.5253394174092,49.9686161045338
21,never,original,post,72.519982321932,14.1176701008981,44.8493489241718,100.190615719692
21,never,rotated,pre,6.89925813816755,1.66179029037414,3.64214916903423,10.1563671073009
21,never,rotated,post,82.9628771804835,15.8130243608248,51.9693494332669,113.9564049277
22,never,original,pre,34.7470059234115,7.76601137505285,19.5256236283079,49.9683882185151
22,never,original,post,72.5200289074747,14.1173727848258,44.8499782492162,100.190079565733
22,never,rotated,pre,6.8992635411571,1.66177335928876,3.64218775695112,10.1563393253631
22,never,rotated,post,82.9629323008201,15.812666863467,51.9701052484248,113.955759353215
23,never,original,pre,23.1948489526231,8.5867426693396,6.36483332071753,40.0248645845287
23,never,original,post,78.2452403089769,15.7843820640381,47.3078514634622,109.182629154492
23,never,rotated,pre,-0.583120514660689,1.82618047556236,-4.16243424676291,2.99619321744153
23,never,rotated,post,87.1619788592083,17.7216337346467,52.4275767393008,121.896380979116
24,never,original,pre,36.0994363563964,8.17109367219578,20.0840927588926,52.1147799539001
