reg,report_constant,drop_singletons,N_clust,N_clust2,N_clust1,N_clustervars,sumweights,r2_within,ll0,ll,rmse,r2_a_within,F,r2_a,r2,mss,rss,tss_within,tss,df_r,df_a,num_singletons,converged,ic,df_m,rank,N_full,N_hdfe,N,acq,ymean3,ymean2,ymean,cmdlinejl,flinejl,cmdline,estat_cmd,predict,marginsnotok,absvars,title2,title,model,indepvars,depvar,title3,clustvar2,clustvar1,clustvar,vce,vcetype,properties,cmd,_r_z__CL,_r_z_abs__CL,_estimates_name
evreg1,0,1,69613,93503,69613,2,11700437,9.91772425363e-06,-94216972.65206073,-88712073.84194452,530.0277835839548,8.42699348036e-06,2.653253558723382,.5137965163451165,.6097521378897733,4122252422659.81,2638285452493.982,2638311618541.11,6760537875153.792,69613,2309149,2098260,1,44,14,14,13798697,2,11700437,796,88.64654800045579,88.64654800045579,88.64654800045579,"reg(df, f     , Vcov.cluster(:unique_small_grid_id,:__000001)      , tol=1.00000000000e-08, progress_bar=false , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",f = @formula(countk ~ Le1_abs + Le2_abs + Le3_abs + Le4_abs + Le5_abs + Le6_abs + La1_abs + La2_abs + La3_abs + La4_abs + La5_abs + La6_abs + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + __00000C + __00000D + __00000E + __0,"reghdfejl countk Le*_abs La*_abs 1.Le*_abs#1.moderator 1.La*_abs#1.moderator av_wind_speed wind_direction, absorb(unique_small_grid_id#cohort ac_uq_id#monthyear#cohort) cluster(unique_small_grid_id monthyear#ac_uq_id) nocons",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id#i.cohort i.ac_uq_id#i.monthyear#i.cohort,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,Le*_abs La*_abs 1.Le*_abs#1.moderator 1.La*_abs#1.moderator av_wind_speed wind_direction,countk,Statistics cluster-robust,monthyear#ac_uq_id,unique_small_grid_id,unique_small_grid_id monthyear#ac_uq_id,cluster,Robust,b V,reghdfejl,t,|t|,evreg1
evreg2,0,1,69577,93503,69577,2,11696708,.000014036376769,-94188777.6314562,-88685633.4089258,530.1006134122898,.0000112671123446,2.234552383566124,.5138152540110204,.609752128343797,4122230010880.095,2638271214555.325,2638308246843.911,6760501225435.42,69577,2308039,2096508,1,44,26,26,13793216,2,11696708,796,75.83297797822037,105.2237756846597,88.72531337361349,"reg(df, f     , Vcov.cluster(:unique_small_grid_id,:__000001)      , tol=1.00000000000e-08, progress_bar=false , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",f = @formula(countk ~ Le1_abs + Le2_abs + Le3_abs + Le4_abs + Le5_abs + Le6_abs + La1_abs + La2_abs + La3_abs + La4_abs + La5_abs + La6_abs + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + __00000C + __00000D + __00000E + __0,"reghdfejl countk Le*_abs La*_abs 1.Le*_abs#1.rice_area_aclvl_ahigh 1.La*_abs#1.rice_area_aclvl_ahigh av_wind_speed wind_direction, absorb(unique_small_grid_id#cohort ac_uq_id#monthyear#cohort) cluster(unique_small_grid_id monthyear#ac_uq_id) no",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id#i.cohort i.ac_uq_id#i.monthyear#i.cohort,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,Le*_abs La*_abs 1.Le*_abs#1.rice_area_aclvl_ahigh 1.La*_abs#1.rice_area_aclvl_ahigh av_wind_speed wind_direction,countk,Statistics cluster-robust,monthyear#ac_uq_id,unique_small_grid_id,unique_small_grid_id monthyear#ac_uq_id,cluster,Robust,b V,reghdfejl,t,|t|,evreg2
evreg3,0,1,69577,93503,69577,2,11696708,.0000162741952437,-94188777.6314562,-88685620.32117283,530.1000202691592,.0000135049370166,2.420913695823213,.5138163420194988,.6097530016599522,4122235914935.032,2638265310500.388,2638308246843.911,6760501225435.42,69577,2308039,2096508,1,44,26,26,13793216,2,11696708,796,23.708079700315,159.3249360661565,88.72531337361349,"reg(df, f     , Vcov.cluster(:unique_small_grid_id,:__000001)      , tol=1.00000000000e-08, progress_bar=false , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",f = @formula(countk ~ Le1_abs + Le2_abs + Le3_abs + Le4_abs + Le5_abs + Le6_abs + La1_abs + La2_abs + La3_abs + La4_abs + La5_abs + La6_abs + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + __00000C + __00000D + __00000E + __0,"reghdfejl countk Le*_abs La*_abs 1.Le*_abs#1.rice_harvarea_aclvl_ahigh 1.La*_abs#1.rice_harvarea_aclvl_ahigh av_wind_speed wind_direction, absorb(unique_small_grid_id#cohort ac_uq_id#monthyear#cohort) cluster(unique_small_grid_id monthyear#ac_u",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id#i.cohort i.ac_uq_id#i.monthyear#i.cohort,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,Le*_abs La*_abs 1.Le*_abs#1.rice_harvarea_aclvl_ahigh 1.La*_abs#1.rice_harvarea_aclvl_ahigh av_wind_speed wind_direction,countk,Statistics cluster-robust,monthyear#ac_uq_id,unique_small_grid_id,unique_small_grid_id monthyear#ac_uq_id,cluster,Robust,b V,reghdfejl,t,|t|,evreg3
evreg4,0,1,69613,93503,69613,2,11700437,.0000198790540542,-94216972.65206073,-88712015.56512038,530.0254822890145,.0000171105780875,2.224532258420461,.513800738369782,.6097560253159862,4122278703751.959,2638259171401.833,2638311618541.11,6760537875153.792,69613,2309149,2098260,1,44,26,26,13798697,2,11700437,796,97.41195781868937,79.63497167026527,88.64654800045579,"reg(df, f     , Vcov.cluster(:unique_small_grid_id,:__000001)      , tol=1.00000000000e-08, progress_bar=false , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",f = @formula(countk ~ Le1_abs + Le2_abs + Le3_abs + Le4_abs + Le5_abs + Le6_abs + La1_abs + La2_abs + La3_abs + La4_abs + La5_abs + La6_abs + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + __00000C + __00000D + __00000E + __0,"reghdfejl countk Le*_abs La*_abs 1.Le*_abs#1.rice_prod_aclvl_ahigh 1.La*_abs#1.rice_prod_aclvl_ahigh av_wind_speed wind_direction, absorb(unique_small_grid_id#cohort ac_uq_id#monthyear#cohort) cluster(unique_small_grid_id monthyear#ac_uq_id) no",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id#i.cohort i.ac_uq_id#i.monthyear#i.cohort,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,Le*_abs La*_abs 1.Le*_abs#1.rice_prod_aclvl_ahigh 1.La*_abs#1.rice_prod_aclvl_ahigh av_wind_speed wind_direction,countk,Statistics cluster-robust,monthyear#ac_uq_id,unique_small_grid_id,unique_small_grid_id monthyear#ac_uq_id,cluster,Robust,b V,reghdfejl,t,|t|,evreg4
