reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26
evreg1,Le1_abs,.8384129157771629,122.8774302807586,5.694981780742284,4.256324381949407,4.193807880709473,4.068514199618541,4.582672670437101,6.926418828091779,4.117906684245594,6.100156328811527,5.256920296188776,4.657952358598878,4.627447707371051,4.758309151852543,0,0,0,0,0,0,0,0,0,0,0,0,-8.147307112071266,.0038212988705595
evreg1,Le2_abs,-1.762574636752287,122.8774302807586,4.256324381949407,6.32375652242204,5.064765881257179,4.503273028512769,4.952411306327223,7.205001149322164,4.270261327598313,6.720587273118331,5.603881135837421,4.988384743652253,5.483706400080378,5.069312955927807,0,0,0,0,0,0,0,0,0,0,0,0,-6.840590748982899,.0026391562604981
evreg1,Le3_abs,-7.632923286550128,122.8774302807586,4.193807880709473,5.064765881257179,8.045565468693916,5.362942321301849,5.659985276844004,8.157888342209533,4.306124978717823,7.200707424056982,5.763979167253302,5.395963702218542,5.940918561031429,5.306281181187564,0,0,0,0,0,0,0,0,0,0,0,0,-8.473756804080136,.009298910935978
evreg1,Le4_abs,-7.936281935168606,122.8774302807586,4.068514199618541,4.503273028512769,5.362942321301849,7.520100520807254,6.380559761364324,8.529094744681341,4.382690134890441,6.85180708490543,5.890365515976539,5.453365388997641,5.819599437172259,5.637701657269675,0,0,0,0,0,0,0,0,0,0,0,0,-6.947675650823461,.012106773514079
evreg1,Le5_abs,-8.516692868718904,122.8774302807586,4.582672670437101,4.952411306327223,5.659985276844004,6.380559761364324,10.01920656981619,12.3633469435155,5.060927692868745,8.484261422183794,7.091085886245875,6.148847836223246,6.357902972029354,5.594151628063879,0,0,0,0,0,0,0,0,0,0,0,0,-6.660660904276654,.0122266288812839
evreg1,Le6_abs,-10.55789809183797,122.8774302807586,6.926418828091779,7.205001149322164,8.157888342209533,8.529094744681341,12.3633469435155,36.87382054763758,4.446483263447665,10.69468701436067,10.54267668565785,10.11567389673283,9.503121372809803,7.874038436471411,0,0,0,0,0,0,0,0,0,0,0,0,-22.57471103705591,.0221910614566633
evreg1,La1_abs,-13.45574530254659,122.8774302807586,4.117906684245594,4.270261327598313,4.306124978717823,4.382690134890441,5.060927692868745,4.446483263447665,11.36895730031732,6.193212028553898,4.745114911773834,3.762378077852655,3.791727863559115,3.217171725667253,0,0,0,0,0,0,0,0,0,0,0,0,-2.415839815887792,.0154491934139134
evreg1,La2_abs,-15.1229070438806,122.8774302807586,6.100156328811527,6.720587273118331,7.200707424056982,6.85180708490543,8.484261422183794,10.69468701436067,6.193212028553898,19.50048420041335,9.348404787762702,7.184073197309225,6.872455302264619,6.066819905148068,0,0,0,0,0,0,0,0,0,0,0,0,-14.39187065049296,.0188916583731682
evreg1,La3_abs,-8.514019547987706,122.8774302807586,5.256920296188776,5.603881135837421,5.763979167253302,5.890365515976539,7.091085886245875,10.54267668565785,4.745114911773834,9.348404787762702,10.086335488155,7.037965431686037,6.935816417029829,6.661599439685141,0,0,0,0,0,0,0,0,0,0,0,0,-13.38457835575072,.010642921706942
evreg1,La4_abs,-6.149433040075363,122.8774302807586,4.657952358598878,4.988384743652253,5.395963702218542,5.453365388997641,6.148847836223246,10.11567389673283,3.762378077852655,7.184073197309225,7.037965431686037,7.659545433165807,7.322257382906082,6.393473985014175,0,0,0,0,0,0,0,0,0,0,0,0,-11.63089045869656,.006410972377613
evreg1,La5_abs,-12.13573186634786,122.8774302807586,4.627447707371051,5.483706400080378,5.940918561031429,5.819599437172259,6.357902972029354,9.503121372809803,3.791727863559115,6.872455302264619,6.935816417029829,7.322257382906082,13.08083479731911,9.135657837343881,0,0,0,0,0,0,0,0,0,0,0,0,-9.5914473702669,.012454847623897
evreg1,La6_abs,-6.460368298322099,122.8774302807586,4.758309151852543,5.069312955927807,5.306281181187564,5.637701657269675,5.594151628063879,7.874038436471411,3.217171725667253,6.066819905148068,6.661599439685141,6.393473985014175,9.135657837343881,15.03105973538923,0,0,0,0,0,0,0,0,0,0,0,0,-18.10984639250038,.007234236809625
evreg1,1o.Le1_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.Le2_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.Le3_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.Le4_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.Le5_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.Le6_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.La1_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.La2_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.La3_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.La4_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.La5_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.La6_abs#1o.moderator,0,122.8774302807586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,av_wind_speed,8.080759299696259,122.8774302807586,-8.147307112071266,-6.840590748982899,-8.473756804080136,-6.947675650823461,-6.660660904276654,-22.57471103705591,-2.415839815887792,-14.39187065049296,-13.38457835575072,-11.63089045869656,-9.5914473702669,-18.10984639250038,0,0,0,0,0,0,0,0,0,0,0,0,283.4321376664943,-.0596781176002235
evreg1,wind_direction,-.0771285121614848,122.8774302807586,.0038212988705595,.0026391562604981,.009298910935978,.012106773514079,.0122266288812839,.0221910614566633,.0154491934139134,.0188916583731682,.010642921706942,.006410972377613,.012454847623897,.007234236809625,0,0,0,0,0,0,0,0,0,0,0,0,-.0596781176002235,.0019702722577915
evreg2,Le1_abs,5.965710238277151,122.8774302807586,6.863046953293355,4.911805884055741,4.994951973603847,4.568974811979723,5.119067718866294,10.14944069114339,4.239580971135312,6.4697021485554,5.420237435843881,5.524428176685551,5.174820233334783,4.875711093737521,-6.888680486639559,-4.935377889505971,-5.016471424311085,-4.625604054717637,-5.209945092400509,-10.2783079061851,-4.238446744061889,-6.485129442092902,-5.418354556995293,-5.495340056979749,-5.131093025297614,-4.853554336880684,-6.24891925184334,.0008871985905271
evreg2,Le2_abs,5.883711869630731,122.8774302807586,4.911805884055741,8.018385766156293,6.272150418047966,5.201304308354248,5.886817274071725,10.88401340819232,4.586666638426633,7.489589575528358,6.155711221928954,6.150143172875445,6.559633513185371,5.36450027154401,-4.963907807802261,-8.06756131322655,-6.319475613312599,-5.280754218615656,-5.995327333779703,-11.06989258300507,-4.583812969461921,-7.548544571135155,-6.210428129221434,-6.168525161468468,-6.568225774127626,-5.449713840744227,-4.368386507967855,-.0028388289867155
evreg2,Le3_abs,-.3794733439547993,122.8774302807586,4.994951973603847,6.272150418047966,9.898525537996402,6.613938547591424,7.334408132645772,13.35698643727823,4.936640999185967,8.686073789838938,6.609541828777449,6.657754075793894,7.273732777655138,6.178632616522996,-5.049332026591443,-6.321855777965719,-9.941660259376647,-6.709542771741388,-7.479534013024027,-13.58917508653328,-4.93205558988634,-8.738790788751551,-6.647082013862821,-6.647009236920628,-7.242130809581263,-6.226579154642575,-7.742445995166556,.0070181817415133
evreg2,Le4_abs,-2.303430492293254,122.8774302807586,4.568974811979723,5.201304308354248,6.613938547591424,9.178982060999697,7.994097244754502,13.16014061858868,4.669636180863721,7.780208240310266,6.48392201510716,6.412931021393223,6.556501594685108,6.139789191651627,-4.687207642659685,-5.311079709868713,-6.711475418566799,-9.333051576749648,-8.196607461327982,-13.5542905892207,-4.660280422286128,-7.938364218156869,-6.655443198537589,-6.506851805482713,-6.634798345241284,-6.443135689350606,-4.276256844965694,.0119412059267447
evreg2,Le5_abs,4.585886951792021,122.8774302807586,5.119067718866294,5.886817274071725,7.334408132645772,7.994097244754502,13.66100603927194,19.73707499857453,5.112598693522629,10.09732749844141,8.152875859331367,7.716211861036227,7.698219119662802,6.176786561717509,-5.268398856599203,-6.026798549131037,-7.461509291246819,-8.18037638873041,-13.89669165449195,-20.21092551541943,-5.105180052069135,-10.30552397487555,-8.3843241244714,-7.856257167391356,-7.826667868006106,-6.588364799442979,-3.226343152029541,.0104026290931145
evreg2,Le6_abs,7.106571979989352,122.8774302807586,10.14944069114339,10.88401340819232,13.35698643727823,13.16014061858868,19.73707499857453,63.18693694119633,5.128670320057837,17.30771344150553,15.5089638232355,15.86538649600329,13.58254301294595,10.84786801375736,-10.28351941589007,-11.00594788531941,-13.45971939959931,-13.39468057060704,-20.09637815556905,-63.76568095525943,-5.118356340422094,-17.44116775248533,-15.60573319426907,-15.84098943328669,-13.50562494141447,-10.97532573845691,-18.91199505176499,.0244583813621131
evreg2,La1_abs,-4.639731406263889,122.8774302807586,4.239580971135312,4.586666638426633,4.936640999185967,4.669636180863721,5.112598693522629,5.128670320057837,12.5969458141154,6.50766899963897,4.746153583776469,4.095285758132627,4.414201695158656,3.211752703841465,-4.180787794547337,-4.529192465860611,-4.8770705335234,-4.615649147505399,-5.068630670722598,-5.00053944465651,-12.59855746920228,-6.413113777908598,-4.625803157508253,-3.995111193793621,-4.302805057014649,-2.987580657400295,-3.554375518900369,.0116099178297519
evreg2,La2_abs,4.430862175126604,122.8774302807586,6.4697021485554,7.489589575528358,8.686073789838938,7.780208240310266,10.09732749844141,17.30771344150553,6.50766899963897,21.91144705034479,9.984236567442183,8.353919915874954,7.524086866002971,5.767097704144349,-6.417547733599485,-7.435913474007788,-8.626598167740555,-7.770670176602875,-10.141611561616,-17.28069947468337,-6.501317366538263,-21.79278166122333,-9.811028243355871,-8.176293871634927,-7.310256225982872,-5.428171140328897,-12.44635467074863,.0166079731053067
evreg2,La3_abs,1.747092239289038,122.8774302807586,5.420237435843881,6.155711221928954,6.609541828777449,6.48392201510716,8.152875859331367,15.5089638232355,4.746153583776469,9.984236567442183,9.923869896324021,8.063865994077808,7.478494740671022,6.238003974390371,-5.3461385935762,-6.082642397065325,-6.536365017092177,-6.435038431766213,-8.133067995873432,-15.37808871097239,-4.740635010576659,-9.842380931157024,-9.734544124595029,-7.892677843977836,-7.281640570951078,-5.87771971717678,-9.048861885526909,.0065668744841394
evreg2,La4_abs,1.226639370158494,122.8774302807586,5.524428176685551,6.150143172875445,6.657754075793894,6.412931021393223,7.716211861036227,15.86538649600329,4.095285758132627,8.353919915874954,8.063865994077808,9.705248976447287,8.803553230997577,6.8254608675859,-5.417436124298477,-6.046946827102031,-6.559016862403332,-6.329836548235536,-7.656505542955019,-15.63814211216442,-4.094959624034869,-8.162083791150257,-7.812889132346015,-9.491151075491496,-8.565624882587741,-6.347181785536144,-9.729646361746282,.0009945996850571
evreg2,La5_abs,-7.712920901961239,122.8774302807586,5.174820233334783,6.559633513185371,7.273732777655138,6.556501594685108,7.698219119662802,13.58254301294595,4.414201695158656,7.524086866002971,7.478494740671022,8.803553230997577,18.15222654874437,11.06887449955047,-5.044689235795162,-6.435720208447065,-7.154992635771932,-6.431586557443811,-7.577599737582837,-13.2596195748636,-4.423904238812482,-7.317762250284371,-7.218803302555859,-8.600499392355156,-17.93692682302331,-10.5797195410192,-6.000288225153166,.0047457739307994
evreg2,La6_abs,-2.39015733992996,122.8774302807586,4.875711093737521,5.36450027154401,6.178632616522996,6.139789191651627,6.176786561717509,10.84786801375736,3.211752703841465,5.767097704144349,6.238003974390371,6.8254608675859,11.06887449955047,17.24914707114526,-4.778323769032175,-5.272930302351909,-6.091699127184143,-6.05716889099921,-6.10850189725315,-10.62430037867444,-3.229361977453594,-5.610650981002227,-6.030199832872831,-6.656340244201683,-10.89010858953131,-16.84376144716666,-6.640902696074326,.0040140085655348
evreg2,1.Le1_abs#1.rice_area_aclvl_ahigh,-11.85405263108936,122.8774302807586,-6.888680486639559,-4.963907807802261,-5.049332026591443,-4.687207642659685,-5.268398856599203,-10.28351941589007,-4.180787794547337,-6.417547733599485,-5.3461385935762,-5.417436124298477,-5.044689235795162,-4.778323769032175,25.62420346012356,19.39652050869947,18.87905983612583,18.97120422471136,21.60348343544154,30.09945121042248,18.72349883090234,28.17567322435002,24.37920076016407,20.8930767540233,20.97681285652081,22.16944138783789,-4.265995291024005,.0069904895671645
evreg2,1.Le2_abs#1.rice_area_aclvl_ahigh,-17.74941652599651,122.8774302807586,-4.935377889505971,-8.06756131322655,-6.321855777965719,-5.311079709868713,-6.026798549131037,-11.00594788531941,-4.529192465860611,-7.435913474007788,-6.082642397065325,-6.046946827102031,-6.435720208447065,-5.272930302351909,19.39652050869947,28.41339385585026,22.77930089644596,20.95241020805342,23.04555278643245,31.17350953537881,19.41086569455356,30.66690589176155,25.81683478037133,22.33523388669526,24.75361169829267,23.79385239397361,-5.697096871543482,.0132845442645074
evreg2,1.Le3_abs#1.rice_area_aclvl_ahigh,-16.66301835826291,122.8774302807586,-5.016471424311085,-6.319475613312599,-9.941660259376647,-6.711475418566799,-7.461509291246819,-13.45971939959931,-4.8770705335234,-8.626598167740555,-6.536365017092177,-6.559016862403332,-7.154992635771932,-6.091699127184143,18.87905983612583,22.77930089644596,36.64208282146951,24.53681981910348,25.59245040891724,34.0735864490514,19.01257355141483,32.02583442122934,26.17099266889832,24.12637901829983,26.56436230921548,24.29665518478753,-1.836103923415902,.0059012084098162
evreg2,1.Le4_abs#1.rice_area_aclvl_ahigh,-12.85604902164538,122.8774302807586,-4.625604054717637,-5.280754218615656,-6.709542771741388,-9.333051576749648,-8.18037638873041,-13.39468057060704,-4.615649147505399,-7.770670176602875,-6.435038431766213,-6.329836548235536,-6.431586557443811,-6.05716889099921,18.97120422471136,20.95241020805342,24.53681981910348,35.36167252768912,29.79806878681055,37.44809608420915,19.74321834451385,31.62811540370462,27.79446914603701,25.37260695560935,27.350909503365,27.4318074245674,-6.778317372331061,.0002353407645993
evreg2,1.Le5_abs#1.rice_area_aclvl_ahigh,-32.05391965310198,122.8774302807586,-5.209945092400509,-5.995327333779703,-7.479534013024027,-8.196607461327982,-13.89669165449195,-20.09637815556905,-5.068630670722598,-10.141611561616,-8.133067995873432,-7.656505542955019,-7.577599737582837,-6.10850189725315,21.60348343544154,23.04555278643245,25.59245040891724,29.79806878681055,45.57984652963115,53.43370105270283,23.42295688025591,39.1373302229181,33.35554036314517,28.21104448844594,29.34251443565989,27.42154036366695,-8.631228975451124,.0040943128978806
evreg2,1.Le6_abs#1.rice_area_aclvl_ahigh,-43.17589945730302,122.8774302807586,-10.2783079061851,-11.06989258300507,-13.58917508653328,-13.5542905892207,-20.21092551541943,-63.76568095525943,-5.00053944465651,-17.28069947468337,-15.37808871097239,-15.63814211216442,-13.2596195748636,-10.62430037867444,30.09945121042248,31.17350953537881,34.0735864490514,37.44809608420915,53.43370105270283,153.0558904998802,19.35205760760526,43.63682791769688,45.18821076053121,41.93562158426708,40.57955854328042,34.67039567447239,-9.187008393699459,-.0056030794311778
evreg2,1.La1_abs#1.rice_area_aclvl_ahigh,-20.65147894328674,122.8774302807586,-4.238446744061889,-4.583812969461921,-4.93205558988634,-4.660280422286128,-5.105180052069135,-5.118356340422094,-12.59855746920228,-6.501317366538263,-4.740635010576659,-4.094959624034869,-4.423904238812482,-3.229361977453594,18.72349883090234,19.41086569455356,19.01257355141483,19.74321834451385,23.42295688025591,19.35205760760526,52.06131909547908,28.4421040790107,21.66119962348091,16.91851477270712,16.5498626093126,14.16048804590654,3.557405254540051,.0080068917478494
