reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42
evreg1,1bn.relative_year_bin_aux,-8.966094274166142,116.2495619449414,13.17951401288247,12.03974963675246,10.66881488823389,11.3594467577073,9.109584068274966,6.231945034733054,3.952350927451071,-.4127927233459639,1.911701893135184,3.159114141798289,-.0120192849990396,-12.42882291241292,-12.65394060978333,-11.65842822645459,-10.39303239638606,-11.04496163779379,-8.74392685687798,-6.011913620633575,-3.930566199261647,.3177041169481505,-1.57176118160882,11.85918016346926,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux,-15.61457270599666,116.2495619449414,12.03974963675246,12.41673603533942,11.1073952075626,10.68449244083721,8.802417278521654,6.014996210503122,4.403357918664442,-1.533937763310986,.8388498209201968,7.102242864494963,.0314160124580719,-11.89630808136191,-11.58840750456342,-11.48763731378145,-10.47981510005937,-10.53193188534983,-8.526631320449258,-5.557257448358065,-4.156150334929207,1.272390540388728,-1.346955958356209,7.577218803340094,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux,-7.033200496232761,116.2495619449414,10.66881488823389,11.1073952075626,11.20463771758824,10.61020455957939,8.746327134658888,6.371295142651318,4.563012143400713,-1.315669418181879,.3877231015520663,8.943259981613771,.059912800133141,-6.513435221168367,-10.45209836120864,-10.02659813544579,-10.48086978281988,-10.66446043160865,-8.646102813732782,-5.872731464877406,-4.209231005345655,.9993208450135371,-1.499094222092248,-.628716162151331,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux,17.30863857698924,116.2495619449414,11.3594467577073,10.68449244083721,10.61020455957939,14.29697319319005,10.67528326755062,6.303949014482095,2.86753335559307,.8963090000948545,2.644007615707443,-6.095195170403567,-.1305882118960925,-15.35822336325041,-10.71964492337549,-11.76379148339055,-11.17186540467359,-13.72210151061284,-10.11262024320934,-6.690264347069226,-3.499987226506645,-.5417231242088701,-.2597454263199314,23.8139670983018,,,,,,,,,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux,9.796527604300636,116.2495619449414,9.109584068274966,8.802417278521654,8.746327134658888,10.67528326755062,9.932011484954174,7.301254253041854,4.257215575815216,.2633374036388187,2.495785320320681,.7330733599866558,-.0347340544644444,-7.93202594873493,-8.800081537864774,-8.915848631432068,-8.747133074384804,-10.46708151273412,-9.681855504501614,-7.320856082087311,-4.438131243020541,-.2002456926799276,-1.915694961774122,8.707341387494685,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux,4.795155963207226,116.2495619449414,6.231945034733054,6.014996210503122,6.371295142651318,6.303949014482095,7.301254253041854,7.893688162131077,5.525875170075428,-.2117540916137881,1.657411861845479,6.85275198403558,.0693700237169143,-.5753535057118065,-6.312342521923983,-5.085804540642731,-5.736877794734275,-6.572726989524758,-7.414622843929052,-7.481888102525605,-5.198164782077296,-.1001208524874455,-3.124101738322376,-5.786515464446059,,,,,,,,,,,,,,,,,,,,
evreg1,7.relative_year_bin_aux,-10.10831501647175,116.2495619449414,3.952350927451071,4.403357918664442,4.563012143400713,2.86753335559307,4.257215575815216,5.525875170075428,5.950803149854401,-2.720512694202197,-1.274536610341573,14.42336280446977,.1627790604177491,4.041875812744594,-4.228801792749463,-2.40618186448276,-3.287311202571914,-3.429917809341112,-4.580728824656331,-4.687164069648894,-5.143788476529847,2.114918729175203,-1.877902751885646,-18.19124485515112,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux,25.12485803265982,116.2495619449414,-.4127927233459639,-1.533937763310986,-1.315669418181879,.8963090000948545,.2633374036388187,-.2117540916137881,-2.720512694202197,5.620320856822571,6.615339695289999,-12.5072988063156,-.1428364826056172,-.4450777091419359,.4414154530127625,-.3939736948900288,.1460067173494524,-.6008437917553159,-.127994787090225,-.5889767869082667,1.924792107057424,-5.116396959885712,-4.144429077080782,11.75892309883968,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux,23.61104009514005,116.2495619449414,1.911701893135184,.8388498209201968,.3877231015520663,2.644007615707443,2.495785320320681,1.657411861845479,-1.274536610341573,6.615339695289999,11.0264443691273,-10.61770250938503,-.1479355402987364,-3.520945137652627,-1.72486675647687,-2.608548305790877,-1.392582928279955,-2.245019855786771,-2.204549475393399,-2.451839099097432,.3707504468797599,-5.977700663388524,-8.508998722543955,14.19138400513655,,,,,,,,,,,,,,,,,,,,
evreg1,1.treat,281.6036149100764,116.2495619449414,3.159114141798289,7.102242864494963,8.943259981613771,-6.095195170403567,.7330733599866558,6.85275198403558,14.42336280446977,-12.5072988063156,-10.61770250938503,600.4099813040604,.9849062699408315,56.36933211122354,-37.18938731373317,-1.138553206329689,-66.79346090610106,27.88664233010639,-27.19903340097077,-81.06342231855378,-100.7529324420326,61.16128999025824,-91.8377600417615,-151.372992457223,,,,,,,,,,,,,,,,,,,,
