reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49,cov50,cov51,cov52,cov53
evreg1,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,13o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,wind_direction,-.2784447505297396,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0113378827727854,-2.724253623274927,2.23851918536581,.8755043655776928,.2595298057684369,.0630837414942376,-.0626543463296546,-.22091051670432,.0539417964543444,.3634984678647886,.5135765178075822,-.0492238473965123,.6543846443101033,.4603934929424568,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,av_wind_speed,380.9275878025313,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.724253623274927,4674.604001222254,-2246.027965366742,-724.88950064449,-407.8787979543088,-298.1424965315945,39.7167806229192,-49.77121128286208,-33.28316683801885,-511.9904528744457,-593.407239787791,-156.3481045696697,-984.3474054351552,-888.5670861564527,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,-280.9933460815238,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23851918536581,-2246.027965366742,2249.282394255826,927.0759575026638,505.1687339942052,308.9114946066618,137.1827940892672,-4.857231967712026,40.96430901229461,411.053866504018,524.7023741208784,-40.6641813686348,534.2669601695773,449.5260053692311,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,-69.66101802827032,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.8755043655776928,-724.88950064449,927.0759575026638,667.9686242447541,371.8474842564256,224.4527519976081,122.8858782854545,61.55414922010017,65.60279788165428,197.0506897533125,212.6912835453291,56.5444101309626,149.679424965091,147.3281580516058,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,-5.755901318458517,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.2595298057684369,-407.8787979543088,505.1687339942052,371.8474842564256,426.7557682316379,295.5006917550363,106.8111874726651,85.28480401009553,45.48969713361124,156.1725183741552,144.405299586231,93.36303187191005,100.0525989000129,78.16128168532008,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux#1.treat,-3.777512345178739,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0630837414942376,-298.1424965315945,308.9114946066618,224.4527519976081,295.5006917550363,397.9595871919354,177.8278723977025,110.0366030035887,23.46711558917241,135.4788028449589,129.7639027761593,54.05700445271007,73.09670010473326,47.1014395226872,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux#1.treat,36.53806117559319,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0626543463296546,39.7167806229192,137.1827940892672,122.8858782854545,106.8111874726651,177.8278723977025,186.0858333686264,59.80203324715499,-1.623338922008921,49.36191353054404,69.53969550131079,9.755430775907417,-.1253357936878967,-15.95797229824841,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux#1.treat,103.1399260382867,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,-.22091051670432,-49.77121128286208,-4.857231967712026,61.55414922010017,85.28480401009553,110.0366030035887,59.80203324715499,375.4801153414707,-.9954858713165524,65.77032415820193,119.9895644924879,137.5155383020417,104.9771538880636,113.8990398423696,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8.relative_year_bin_aux#1.treat,-.4063926214992957,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0539417964543444,-33.28316683801885,40.96430901229461,65.60279788165428,45.48969713361124,23.46711558917241,-1.623338922008921,-.9954858713165524,85.57952292927827,32.97098596536485,33.72352186190527,25.06222042858228,32.08278609715824,40.07372365289676,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux#1.treat,-29.89163600449432,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.3634984678647886,-511.9904528744457,411.053866504018,197.0506897533125,156.1725183741552,135.4788028449589,49.36191353054404,65.77032415820193,32.97098596536485,151.725231966873,161.0417764499602,55.82135675387265,167.5486331415308,152.7060966033712,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux#1.treat,-3.63289904030856,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.5135765178075822,-593.407239787791,524.7023741208784,212.6912835453291,144.405299586231,129.7639027761593,69.53969550131079,119.9895644924879,33.72352186190527,161.0417764499602,291.3869154477887,87.64381812654879,241.9957303889983,237.4156603277314,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11.relative_year_bin_aux#1.treat,14.62213212812499,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0492238473965123,-156.3481045696697,-40.6641813686348,56.5444101309626,93.36303187191005,54.05700445271007,9.755430775907417,137.5155383020417,25.06222042858228,55.82135675387265,87.64381812654879,171.3051716451234,88.65001879714217,106.977856955668,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12.relative_year_bin_aux#1.treat,-24.28601971791395,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.6543846443101033,-984.3474054351552,534.2669601695773,149.679424965091,100.0525989000129,73.09670010473326,-.1253357936878967,104.9771538880636,32.08278609715824,167.5486331415308,241.9957303889983,88.65001879714217,373.9719381548296,330.0085281532826,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,13.relative_year_bin_aux#1.treat,-8.355504378332517,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.4603934929424568,-888.5670861564527,449.5260053692311,147.3281580516058,78.16128168532008,47.1014395226872,-15.95797229824841,113.8990398423696,40.07372365289676,152.7060966033712,237.4156603277314,106.977856955668,330.0085281532826,360.7003085471998,,,,,,,,,,,,,,,,,,,,,,,,,,
