reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9
evreg1,1o.post_,0,,,,,0,0,0,0,0,0,0,0,0
evreg1,1.treat,-18.15212883447929,10.55333711178563,-1.720036860587687,.0856030446134546,*,0,111.3729241949919,5.513436219536807,.0083474363574261,-2.350221356852716,-9.987074617560996,-.095094530713767,-150.4324416960948,-4.666711559129106
evreg1,1.downup_ac,-10.93278324677306,3.239384398538241,-3.374957060269363,.00075445102686,***,0,5.513436219536807,10.49361128149296,.0342828803372501,-8.622802909118292,-1.352376718613621,-.3629797503107938,-10.67963190471414,.2595899022964355
evreg1,wind_direction,-.587825693449199,.077013024739925,-7.632808806488276,3.75686853421e-14,***,0,.0083474363574261,.0342828803372501,.0059310059795923,-.849448565747836,.010909669249701,.0121700583028803,-.0177312222170067,-.0127062529850951
evreg1,av_wind_speed,136.946307785831,17.14408922198728,7.987960515872578,2.46816780470e-15,***,0,-2.350221356852716,-8.622802909118292,-.849448565747836,293.9197952514604,.3289194073328465,-1.242488290677232,2.962734044853383,.1881775399139051
evreg1,1.post_#1.treat,12.79263672876341,9.482001498501587,1.349149410151959,.1774640092725839,,0,-9.987074617560996,-1.352376718613621,.010909669249701,.3289194073328465,89.90835241758633,2.054587123126624,-12.41090068405763,-68.48605285402014
evreg1,1.post_#1.downup_ac,6.009912259621904,2.310644226894381,2.600968244990066,.0093746504246625,***,0,-.095094530713767,-.3629797503107938,.0121700583028803,-1.242488290677232,2.054587123126624,5.339076743280332,.3560434386717507,-5.338054691151485
evreg1,1.treat#1.downup_ac,4.923543649527204,16.46522629746474,.2990267829046064,.7649552174553482,,0,-150.4324416960948,-10.67963190471414,-.0177312222170067,2.962734044853383,-12.41090068405763,.3560434386717507,271.1036770267245,18.5720577426943
evreg1,1.post_#1.treat#1.downup_ac,-3.27309660065055,11.22638607022978,-.2915538963451625,.7706623830879851,,0,-4.666711559129106,.2595899022964355,-.0127062529850951,.1881775399139051,-68.48605285402014,-5.338054691151485,18.5720577426943,126.0317441978492
evreg2,1o.post_,0,,,,,0,0,0,0,0,0,0,0,0
evreg2,1.treat,-7.089535253355269,5.798413819710112,-1.222668038844752,.2216213533892542,,0,33.62160282460521,3.957003194239586,-.0004240450094368,4.881338621218839,-8.83861252700537,-.4627975916967427,-26.86569023817558,8.330756144038823
evreg2,1.downup_ac,-7.807451001790862,2.951968225392018,-2.644828943155051,.0082470425381713,***,0,3.957003194239586,8.714116403724098,.0034623314555689,8.295732827624228,-.5131415834539367,-1.010440691897977,-8.59553225465538,.9267844486289527
evreg2,wind_direction,.0246782277275742,.0625444256620948,.394571178267778,.6932079393076525,,0,-.0004240450094368,.0034623314555689,.0039118051814013,-.0772394821836239,-.0082710081598891,-.0143206745537773,-.0079642528546491,.0169888502019191
evreg2,av_wind_speed,-30.95959003177802,22.16984563682754,-1.396472963273563,.1627509419718818,,0,4.881338621218839,8.295732827624228,-.0772394821836239,491.5020555607608,-3.824011043208262,-5.215938645582729,-10.66394681210458,6.024479543612036
evreg2,1.post_#1.treat,-16.31605376427585,4.398989509826342,-3.709045845149095,.0002145967494049,***,0,-8.83861252700537,-.5131415834539367,-.0082710081598891,-3.824011043208262,19.3511087075622,2.290537524006572,8.550680425103328,-18.16897484132187
evreg2,1.post_#1.downup_ac,6.614899566178235,2.227267718488394,2.969961586237889,.0030193096881027,***,0,-.4627975916967427,-1.010440691897977,-.0143206745537773,-5.215938645582729,2.290537524006572,4.960721489820495,.8708889023524066,-4.951586525416857
evreg2,1.treat#1.downup_ac,-15.31949378370167,7.262422370039816,-2.109419282318288,.0350514855679362,**,0,-26.86569023817558,-8.59553225465538,-.0079642528546491,-10.66394681210458,8.550680425103328,.8708889023524066,52.74277868085473,-12.90609716056408
evreg2,1.post_#1.treat#1.downup_ac,2.604701536234295,6.017840988426355,.4328299038216056,.6651922057508663,,0,8.330756144038823,.9267844486289527,.0169888502019191,6.024479543612036,-18.16897484132187,-4.951586525416857,-12.90609716056408,36.21441016198428
