reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49,cov50,cov51
evreg1,8.relative_year_bin_aux#1.treat,26.6105478002947,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,-168.8997432685954,-24.74902324432853,14.76725628084927,48.51575959953549,31.19854136825247,14.42040518693927,90.09738744532368,37.38871103797818,50.66884318677901,81.23411885098479,-1.348655821656919,-.2115418040687878,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux#1.treat,19.64186220713193,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,48.31662737094387,62.67762606585096,59.63644028829755,72.58867737102442,59.91621048378808,43.39382844115701,37.38871103797818,89.01097753767954,84.82678429923314,68.11209239992498,34.54748553579837,38.73710147970251,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux#1.treat,59.83489876405485,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8873559306884,79.30484397830415,50.23598818273055,61.2376637455579,73.38747787513434,73.07236393818192,50.66884318677901,84.82678429923314,211.2508551735878,87.80350200556219,61.85328501638887,70.62738917771156,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11.relative_year_bin_aux#1.treat,77.98183272465553,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,-454.1144944646609,-110.9775501454856,61.25234940587644,93.65895678611233,58.82186250139585,129.3319283972993,81.23411885098479,68.11209239992498,87.80350200556219,261.3121999186002,17.4431081029871,30.3188547685977,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12.relative_year_bin_aux#1.treat,41.71487581731246,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0678983383307,23.25497722904821,10.88463511741246,22.13242006672317,17.5577019917274,87.98462731153172,-1.348655821656919,34.54748553579837,61.85328501638887,17.4431081029871,139.4234666797615,133.1448898609346,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,13.relative_year_bin_aux#1.treat,44.30282779613997,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0559748043876,36.78727190204098,-10.58266230795853,1.654733654276213,-.5218590444420842,129.7029783502568,-.2115418040687878,38.73710147970251,70.62738917771156,30.3188547685977,133.1448898609346,211.3341749246881,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg2,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
