reg,acq,ymean2,ymean,report_constant,drop_singletons,N_clust,N_clust2,N_clust1,N_clustervars,sumweights,r2_within,ll0,ll,rmse,r2_a_within,F,r2_a,r2,mss,rss,tss_within,tss,df_r,df_a,num_singletons,converged,ic,df_m,rank,N_full,N_hdfe,N,eventwindow,omittedperiod,clusterspec,weathercontrols,gridfe,acmonthfe,acfe,monthyearfe,mod,fespec,smpl,cmdlinejl,flinejl,cmdline,estat_cmd,predict,marginsnotok,absvars,title2,title,model,indepvars,depvar,title3,clustvar2,clustvar1,clustvar,vce,vcetype,properties,cmd,_r_z__CL,_r_z_abs__CL,_estimates_name
evreg1,808,,91.94784611934129,0,1,120,120,75337,2,36808248,.0070168361056838,-306671228.1354396,-301897263.3405,953.9291581635193,.0070164264923497,7.878173173353815,.0988864346033341,.2284829208054326,8492813681621.199,28677639373175.64,28880287618076.69,37170453054796.84,119,5293682,89689,1,14,13,13,36897937,2,36808248,-5 to 6,0,Grid; month-year,Y,Y,N,N,Y,moderator,Grid x cohort; month-year x cohort,Rural,"reg(df, f     , Vcov.cluster(:unique_small_grid_id,:monthyear)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=6), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id )&fe( cohort ) + fe( monthyear )&fe( co,"reghdfejl countk ib6.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed, absorb(unique_small_grid_id#cohort monthyear#cohort) cluster(unique_small_grid_id monthyear)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id#i.cohort i.monthyear#i.cohort,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib6.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,monthyear,unique_small_grid_id,unique_small_grid_id monthyear,cluster,Robust,b V,reghdfejl,t,|t|,evreg1
evreg2,808,149.3446044903193,91.94784611934129,0,1,120,120,75337,2,36808248,.011835194193329,-306671228.1354396,-301807741.6733405,951.6122497667594,.0118340967386913,13.68425670669863,.103258378035642,.2322266353954306,8631969249039.277,28538483805757.56,28880287618076.69,37170453054796.84,119,5293682,89689,1,14,35,35,36897937,2,36808248,-5 to 6,0,Grid; month-year,Y,Y,N,N,Y,rice_prod_aclvl_ahigh,Grid x cohort; month-year x cohort,Rural,"reg(df, f     , Vcov.cluster(:unique_small_grid_id,:monthyear)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:rice_prod_aclvl_ahigh=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=6), ",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + rice_prod_aclvl_ahigh + relative_year_bin_aux&rice_prod_aclvl_ahigh + treat&rice_prod_aclvl_ahigh + relative_year_bin_aux&treat&rice_prod_aclvl_ahigh + wind_dir,"reghdfejl countk ib6.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed, absorb(unique_small_grid_id#cohort monthyear#cohort) cluster(unique_small_grid_id monthyear)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id#i.cohort i.monthyear#i.cohort,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib6.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed,countk,Statistics cluster-robust,monthyear,unique_small_grid_id,unique_small_grid_id monthyear,cluster,Robust,b V,reghdfejl,t,|t|,evreg2
