reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15
evreg1,1bno.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,5o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-1.554263956261965,592.5228748884558,0,0,0,0,0,0,0,.0162202316076955,-2.503676087267129,-.7736890893540923,-.3344011737831262,-.3995988349362806,.3641654876976224,.9280558343683551,.4203159939866255
evreg1,av_wind_speed,244.729254704501,592.5228748884558,0,0,0,0,0,0,0,-2.503676087267129,919.5726052900043,181.9328199929516,131.5761410612071,115.883667427754,-67.07745263749307,-170.9060643490658,-65.6759374635964
evreg1,1bn.relative_year_bin_aux#1.treat,-35.96539658294623,592.5228748884558,0,0,0,0,0,0,0,-.7736890893540923,181.9328199929516,417.4988113730643,170.3815507836885,140.4351006434805,-152.8015090208573,-408.7928906531965,-245.9469270513538
evreg1,2.relative_year_bin_aux#1.treat,-2.755976871067555,592.5228748884558,0,0,0,0,0,0,0,-.3344011737831262,131.5761410612071,170.3815507836885,213.4223853517108,130.6870724759361,-15.27189917807891,3.320379687438254,-38.20947206828186
evreg1,3.relative_year_bin_aux#1.treat,-13.65504152411707,592.5228748884558,0,0,0,0,0,0,0,-.3995988349362806,115.883667427754,140.4351006434805,130.6870724759361,189.8061580024961,-27.48107334242648,59.02444566870305,-19.91528953230389
evreg1,5.relative_year_bin_aux#1.treat,65.53553516182633,592.5228748884558,0,0,0,0,0,0,0,.3641654876976224,-67.07745263749307,-152.8015090208573,-15.27189917807891,-27.48107334242648,267.5972458722318,508.6826462493046,232.5470643555316
evreg1,6.relative_year_bin_aux#1.treat,230.7712076947743,592.5228748884558,0,0,0,0,0,0,0,.9280558343683551,-170.9060643490658,-408.7928906531965,3.320379687438254,59.02444566870305,508.6826462493046,1872.647364095133,836.3796142799521
evreg1,7.relative_year_bin_aux#1.treat,116.4461503762655,592.5228748884558,0,0,0,0,0,0,0,.4203159939866255,-65.6759374635964,-245.9469270513538,-38.20947206828186,-19.91528953230389,232.5470643555316,836.3796142799521,1438.303241842764
evreg2,1bno.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,7o.relative_year_bin_aux,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,592.5228748884558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,wind_direction,-1.554263956261965,592.5228748884558,0,0,0,0,0,0,0,.0162202316076955,-2.503676087267129,-.7736890893540923,-.3344011737831262,-.3995988349362806,.3641654876976224,.9280558343683551,.4203159939866255
evreg2,av_wind_speed,244.729254704501,592.5228748884558,0,0,0,0,0,0,0,-2.503676087267129,919.5726052900043,181.9328199929516,131.5761410612071,115.883667427754,-67.07745263749307,-170.9060643490658,-65.6759374635964
evreg2,1bn.relative_year_bin_aux#1.treat,-35.96539658294623,592.5228748884558,0,0,0,0,0,0,0,-.7736890893540923,181.9328199929516,417.4988113730643,170.3815507836885,140.4351006434805,-152.8015090208573,-408.7928906531965,-245.9469270513538
evreg2,2.relative_year_bin_aux#1.treat,-2.755976871067555,592.5228748884558,0,0,0,0,0,0,0,-.3344011737831262,131.5761410612071,170.3815507836885,213.4223853517108,130.6870724759361,-15.27189917807891,3.320379687438254,-38.20947206828186
evreg2,3.relative_year_bin_aux#1.treat,-13.65504152411707,592.5228748884558,0,0,0,0,0,0,0,-.3995988349362806,115.883667427754,140.4351006434805,130.6870724759361,189.8061580024961,-27.48107334242648,59.02444566870305,-19.91528953230389
evreg2,5.relative_year_bin_aux#1.treat,65.53553516182633,592.5228748884558,0,0,0,0,0,0,0,.3641654876976224,-67.07745263749307,-152.8015090208573,-15.27189917807891,-27.48107334242648,267.5972458722318,508.6826462493046,232.5470643555316
evreg2,6.relative_year_bin_aux#1.treat,230.7712076947743,592.5228748884558,0,0,0,0,0,0,0,.9280558343683551,-170.9060643490658,-408.7928906531965,3.320379687438254,59.02444566870305,508.6826462493046,1872.647364095133,836.3796142799521
evreg2,7.relative_year_bin_aux#1.treat,116.4461503762655,592.5228748884558,0,0,0,0,0,0,0,.4203159939866255,-65.6759374635964,-245.9469270513538,-38.20947206828186,-19.91528953230389,232.5470643555316,836.3796142799521,1438.303241842764
