reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9
evreg1,1.post_,-97.92669584083406,12.57193852435185,-7.789307563917053,7.78456232167e-15,***,158.0536382600822,0,.2565645710995587,-16.03456380168517,-9.111338427099039,,,,
evreg1,1o.treat,0,,,,,0,0,0,0,0,,,,
evreg1,wind_direction,-1.87123486239819,.0677847310867868,-27.60555116759839,9.0063930583e-159,***,.2565645710995587,0,.004594769768508,-.259724217220841,-.0301917363665668,,,,
evreg1,av_wind_speed,139.9532068195332,4.977520815135817,28.11705104154636,2.5996238382e-164,***,-16.03456380168517,0,-.259724217220841,24.77571346511033,2.170412395694961,,,,
evreg1,1.post_#1.treat,8.705242915914827,2.475117496503306,3.517102896413224,.0004392452076548,***,-9.111338427099039,0,-.0301917363665668,2.170412395694961,6.126206621496792,,,,
evreg2,1.post_,-87.52748366705654,12.06773238878583,-7.253018284395594,4.54605474800e-13,***,145.6301650073506,0,-20.55814415838618,.2327478365410153,-14.82975000380818,-4.638054086424538,8.128275062175655,19.7060383105672,-6.951454703868931
evreg2,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0
evreg2,1.moderator,406.2577184299282,45.62291305240846,8.904686072177096,6.83576830767e-19,***,-20.55814415838618,0,2081.450195387622,-.2213556194696097,17.45474971036836,-.589120923005135,-8.964694213366,-2082.360111492119,8.572797467756082
evreg2,wind_direction,-1.871487899796855,.0677927949848242,-27.60600002132672,8.9068637721e-159,***,.2327478365410153,0,-.2213556194696097,.0045958630518544,-.2597344629049833,-.009180507999663,.0437322346686885,.2410914505885445,-.0432652233043958
evreg2,av_wind_speed,139.9645071162632,4.977344982425099,28.12031466785504,2.3950189847e-164,***,-14.82975000380818,0,17.45474971036836,-.2597344629049833,24.77396307407231,.8296802861967321,-2.235599010983872,-18.74092186333939,2.952243139644234
evreg2,1.post_#1.treat,-3.093734350476605,2.928951518750732,-1.056260006582887,.290888452020421,,-4.638054086424538,0,-.589120923005135,-.009180507999663,.8296802861967321,8.578756999192219,4.820977756264636,4.602999539946977,-9.050416056194852
evreg2,1.post_#1.moderator,-23.26447685455724,4.46615281181673,-5.209064229285468,1.95595795756e-07,***,8.128275062175655,0,-8.964694213366,.0437322346686885,-2.235599010983872,4.820977756264636,19.94652093849848,8.377661585218378,-17.97972335140458
evreg2,1.treat#1.moderator,-410.1509228287305,46.51328419591432,-8.817930832429969,1.47501579372e-18,***,19.7060383105672,0,-2082.360111492119,.2410914505885445,-18.74092186333939,4.602999539946977,8.377661585218378,2163.485606689893,-14.8795388968472
evreg2,1.post_#1.treat#1.moderator,27.97814071836586,5.387669531757092,5.192994958850286,2.13185970994e-07,***,-6.951454703868931,0,8.572797467756082,-.0432652233043958,2.952243139644234,-9.050416056194852,-17.97972335140458,-14.8795388968472,29.02698298342368
