reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14
evreg1,1.Le1_abs,.4762905430749335,106.6406244310543,4.831130561472773,3.389535344210258,3.484335449413873,3.592670422922147,3.798408700466978,5.226128297010288,3.112916565254287,5.26799579950794,4.424761526539124,3.934222300345883,4.058501791726544,4.073306829264074,-6.740487787365327,.0046692297299475
evreg1,1.Le2_abs,-2.338951493400622,106.6406244310543,3.389535344210258,5.224129143767309,4.274445092556824,3.916596855665332,4.132451720983697,5.319332786290727,3.306262178640906,5.726434193701446,4.696271854459884,4.220750593917391,4.825490328952137,4.322156103818532,-5.486753250093336,.0009696833023212
evreg1,1.Le3_abs,-9.451396311811823,106.6406244310543,3.484335449413873,4.274445092556824,7.063688867411819,4.708733460024672,4.909958048155207,6.46855669223467,3.413950492858258,6.36760560975291,5.058100039481405,4.746558323854446,5.278174185402992,4.618516607980418,-6.654319632217392,.0068899135416012
evreg1,1.Le4_abs,-6.31617795244922,106.6406244310543,3.592670422922147,3.916596855665332,4.708733460024672,6.875732115494505,5.620601226541521,7.327960893936601,3.610748870242384,6.319238744606252,5.499860262684382,5.164834164146656,5.543237077679666,5.183252934562788,-5.633672400780087,.0104477149124964
evreg1,1.Le5_abs,-9.284417029271337,106.6406244310543,3.798408700466978,4.132451720983697,4.909958048155207,5.620601226541521,8.095307692589133,9.662023726143858,4.111136139418318,7.718951335757384,6.274160892804836,5.548342735513849,5.994995591776635,4.963880721345076,-5.424967219428583,.0106601763434993
evreg1,1.Le6_abs,-7.855941825147776,106.6406244310543,5.226128297010288,5.319332786290727,6.46855669223467,7.327960893936601,9.662023726143858,25.05898843427599,3.345476631087365,8.934667428718612,8.787006232415726,8.501072881711162,7.950140892986693,6.238989016766924,-15.82881239244908,.0176818001097561
evreg1,1.La1_abs,-10.92144723457159,106.6406244310543,3.112916565254287,3.306262178640906,3.413950492858258,3.610748870242384,4.111136139418318,3.345476631087365,8.684408490089185,4.859848613096843,3.683890512054992,3.119326123229097,3.26490206883953,2.63472236282445,-.9307801011872759,.0113563727780248
evreg1,1.La2_abs,-10.58457430151971,106.6406244310543,5.26799579950794,5.726434193701446,6.36760560975291,6.319238744606252,7.718951335757384,8.934667428718612,4.859848613096843,16.84740425510869,8.483984427062646,6.699470804060518,6.625537667316046,5.609188413822828,-11.20508194163579,.0161644820986768
evreg1,1.La3_abs,-7.690961029543801,106.6406244310543,4.424761526539124,4.696271854459884,5.058100039481405,5.499860262684382,6.274160892804836,8.787006232415726,3.683890512054992,8.483984427062646,8.756191903846064,6.350614664158816,6.475391928801889,5.84692646661289,-10.96881821070559,.00993275744507
evreg1,1.La4_abs,-5.762384098504132,106.6406244310543,3.934222300345883,4.220750593917391,4.746558323854446,5.164834164146656,5.548342735513849,8.501072881711162,3.119326123229097,6.699470804060518,6.350614664158816,6.788352823124154,6.770411724966408,5.689846179347801,-9.35542751395128,.0067868400830906
evreg1,1.La5_abs,-11.37751497436827,106.6406244310543,4.058501791726544,4.825490328952137,5.278174185402992,5.543237077679666,5.994995591776635,7.950140892986693,3.26490206883953,6.625537667316046,6.475391928801889,6.770411724966408,11.61422625314155,8.249708655553524,-8.551318836211593,.0099468413010598
evreg1,1.La6_abs,-6.571832948092452,106.6406244310543,4.073306829264074,4.322156103818532,4.618516607980418,5.183252934562788,4.963880721345076,6.238989016766924,2.63472236282445,5.609188413822828,5.84692646661289,5.689846179347801,8.249708655553524,13.2713470961992,-15.27672776961091,.0060595370180177
evreg1,av_wind_speed,9.969678724734962,106.6406244310543,-6.740487787365327,-5.486753250093336,-6.654319632217392,-5.633672400780087,-5.424967219428583,-15.82881239244908,-.9307801011872759,-11.20508194163579,-10.96881821070559,-9.35542751395128,-8.551318836211593,-15.27672776961091,230.0427818098376,-.0452203191140307
evreg1,wind_direction,-.0721357349697314,106.6406244310543,.0046692297299475,.0009696833023212,.0068899135416012,.0104477149124964,.0106601763434993,.0176818001097561,.0113563727780248,.0161644820986768,.00993275744507,.0067868400830906,.0099468413010598,.0060595370180177,-.0452203191140307,.0014582701712772
