reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bn.relative_year_bin_aux,286.9373669374501,45.78904269979007,6.266507225729042,3.92721737797e-10,***,2096.636431363199,1428.489891565777,771.8670714047718,407.6311119042647,-301.0129385071102,-862.8536961322926,-981.5877498838036,-974.4429317285048,-983.4534791203968,0,-.628274027969324,100.6133475890607,-131.2715959923644,-76.34780351378144,8.237444177483759,-20.84370050188812,-38.62585915371754,8.64065799815863,.0945737702775851,-14.00454023714576,-11.58360702240682
evreg1,2.relative_year_bin_aux,218.8313089851053,34.92971534287997,6.264903874451744,3.96759476477e-10,***,1428.489891565777,1220.085013934624,704.2089173193726,373.2510413137055,-317.0554791227376,-875.050892054346,-973.3803481765907,-965.217336506678,-971.0642328618957,0,-.6788677476955244,86.7215973884539,-55.30728358374351,-91.57175966197589,-4.941757674038444,-18.34191651337899,-32.12733422053863,17.16302518509851,1.87119816776313,-10.34037704623184,-9.352377779912358
evreg1,3.relative_year_bin_aux,159.0531106559156,21.77924194777918,7.302968167454247,3.14896760004e-13,***,771.8670714047718,704.2089173193726,474.3353798199043,249.5164627937055,-216.6719565292684,-584.4701761212873,-682.6232902545789,-679.9774062567782,-687.0716289803484,0,-.4492679691715493,53.68957508064477,-19.75192560553712,-38.11203360472361,-20.2507011213751,-11.0861685436649,-18.75804518241388,8.22628931624512,5.405584849500788,-5.786210326441681,-4.960972562689188
evreg1,4.relative_year_bin_aux,71.83005335541132,11.90686704649762,6.032657715493681,1.70093568068e-09,***,407.6311119042647,373.2510413137055,249.5164627937055,141.773482862971,-113.2790990359799,-314.802422047846,-376.6516165528507,-375.0281296292731,-376.256822870288,0,-.1936922663960116,25.82119433939321,-11.3425361353929,-23.07449861612638,-8.822932141948259,-10.66206096598232,-13.04097740189257,2.092830016898371,1.942541538073591,-5.00831322810311,-4.92942605481632
evreg1,6.relative_year_bin_aux,-106.81132309058,13.17810000167512,-8.105214186946737,6.23356887388e-16,***,-301.0129385071102,-317.0554791227376,-216.6719565292684,-113.2790990359799,173.6623196541499,412.646272555709,473.7669934943582,472.1336407527717,480.3914781575942,0,.2824503054434862,-29.25928009331563,-4.525244973644091,9.663012701185973,3.502730125381802,-1.214001944085891,-1.567701746510219,-13.54012126356174,-11.80708801196396,-3.219560609023098,-4.599093344734795
evreg1,7.relative_year_bin_aux,-228.0846416653567,32.84233454355748,-6.944836438556375,4.15459165755e-12,***,-862.8536961322926,-875.050892054346,-584.4701761212873,-314.802422047846,412.646272555709,1078.618938270949,1267.808243182804,1262.910869165301,1281.340350156878,0,.5849173864082337,-69.33981427868552,6.01072234979361,44.89463009797161,17.25354123307737,10.13780275311806,16.40292688422975,-28.99446617452747,-25.79375091533033,1.386133402942173,-2.023223982747954
evreg1,8.relative_year_bin_aux,-247.2918574703147,41.52066176964996,-5.955874664094967,2.72108746347e-09,***,-981.5877498838036,-973.3803481765907,-682.6232902545789,-376.6516165528507,473.7669934943582,1267.808243182804,1723.965353789672,1771.508692520252,1836.103778853628,0,.5018799156452581,-65.18212415664637,12.15157818726966,44.55144400145358,26.90637464885926,17.76338551117071,25.81471212622973,-11.96330483946287,-48.63311819604298,1.111224885687324,-5.816301625844776
evreg1,9.relative_year_bin_aux,-309.1363241563386,43.79776444715542,-7.058267198302548,1.85976919014e-12,***,-974.4429317285048,-965.217336506678,-679.9774062567782,-375.0281296292731,472.1336407527717,1262.910869165301,1771.508692520252,1918.244170568511,2063.424762484917,0,.6841088720676139,-71.70835340676746,13.88154794169812,43.73452019878398,27.19114575513003,17.66283770989466,25.80858238383474,-9.391210522093248,-40.91268721831054,-3.045483679753527,-16.40448830343751
evreg1,10.relative_year_bin_aux,-343.705779575905,48.39894181126114,-7.101514345421781,1.36445655601e-12,***,-983.4534791203968,-971.0642328618957,-687.0716289803484,-376.256822870288,480.3914781575942,1281.340350156878,1836.103778853628,2063.424762484917,2342.457568449842,0,.7808172837408534,-75.09353835658735,13.7388002744284,42.65837056216261,28.08861543113513,16.16529462117898,24.97698944140658,-9.297088782688318,-37.74374586716145,1.534739678712503,-34.41945876769564
evreg1,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-1.877049391973581,.0682155566721675,-27.51644175527827,8.1551304703e-158,***,-.628274027969324,-.6788677476955244,-.4492679691715493,-.1936922663960116,.2824503054434862,.5849173864082337,.5018799156452581,.6841088720676139,.7808172837408534,0,.0046533621720937,-.2842043055946438,-.0136308592451092,.0139204103827158,.0028399466045511,-.0191060646907698,-.0290138886399231,-.0678908422804544,-.0016231824250319,-.036961631528752,-.0361948931221534
evreg1,av_wind_speed,149.5280166068224,5.458026328128647,27.39598668408951,1.5886276498e-156,***,100.6133475890607,86.7215973884539,53.68957508064477,25.82119433939321,-29.25928009331563,-69.33981427868552,-65.18212415664637,-71.70835340676746,-75.09353835658735,0,-.2842043055946438,29.79005139854548,-2.575378920184307,-4.620364324996278,-1.345753315860507,-.0792441621928631,-.082388813349403,4.217490856210473,.3106247091340058,2.110497050135946,1.387190713055344
evreg1,1bn.relative_year_bin_aux#1.treat,7.31376646342104,8.396413041462369,.8710584421353373,.3837542114375464,,-131.2715959923644,-55.30728358374351,-19.75192560553712,-11.3425361353929,-4.525244973644091,6.01072234979361,12.15157818726966,13.88154794169812,13.7388002744284,0,-.0136308592451092,-2.575378920184307,70.49975196283935,12.63202533056623,11.29586193575877,11.81973225849835,12.72881460593797,9.385329287357855,11.00964538388095,10.01663488838262,9.945168350378692
evreg1,2.relative_year_bin_aux#1.treat,18.63972928145341,7.573099717446598,2.461307783721897,.0138687852317354,**,-76.34780351378144,-91.57175966197589,-38.11203360472361,-23.07449861612638,9.663012701185973,44.89463009797161,44.55144400145358,43.73452019878398,42.65837056216261,0,.0139204103827158,-4.620364324996278,12.63202533056623,57.35183933038975,13.34671926132937,13.23743136088195,15.53085475889827,.6549256317753412,11.78717974342243,11.3636139378646,11.00181291170294
evreg1,3.relative_year_bin_aux#1.treat,3.525987670114097,5.311958400190149,.6637829976205911,.5068526040245238,,8.237444177483759,-4.941757674038444,-20.2507011213751,-8.822932141948259,3.502730125381802,17.25354123307737,26.90637464885926,27.19114575513003,28.08861543113513,0,.0028399466045511,-1.345753315860507,11.29586193575877,13.34671926132937,28.21690204535069,11.50632551958413,11.1853782699496,9.658249606041153,7.919171478519771,9.792808646503195,9.54472996653967
evreg1,4.relative_year_bin_aux#1.treat,8.097007369189869,4.109070043306879,1.970520649162163,.0488208377947813,**,-20.84370050188812,-18.34191651337899,-11.0861685436649,-10.66206096598232,-1.214001944085891,10.13780275311806,17.76338551117071,17.66283770989466,16.16529462117898,0,-.0191060646907698,-.0792441621928631,11.81973225849835,13.23743136088195,11.50632551958413,16.884456620802,11.54099000930673,9.134553372736589,9.238707922361041,9.394744489080528,9.781058727273221
evreg1,6.relative_year_bin_aux#1.treat,11.10288498105537,4.270375361301634,2.599978700156032,.0093439138140802,***,-38.62585915371754,-32.12733422053863,-18.75804518241388,-13.04097740189257,-1.567701746510219,16.40292688422975,25.81471212622973,25.80858238383474,24.97698944140658,0,-.0290138886399231,-.082388813349403,12.72881460593797,15.53085475889827,11.1853782699496,11.54099000930673,18.23610572641206,8.022651001355294,9.831019716145866,9.593708977565591,9.414413966875982
