"state","ac_uq_id","sample_seed","sample_fraction"
"BIHAR",7,20260826,0.1
"BIHAR",8,20260826,0.1
"BIHAR",25,20260826,0.1
"BIHAR",26,20260826,0.1
"BIHAR",41,20260826,0.1
"BIHAR",46,20260826,0.1
"BIHAR",50,20260826,0.1
"BIHAR",53,20260826,0.1
"BIHAR",55,20260826,0.1
"BIHAR",73,20260826,0.1
"BIHAR",74,20260826,0.1
"BIHAR",104,20260826,0.1
"BIHAR",108,20260826,0.1
"BIHAR",114,20260826,0.1
"BIHAR",121,20260826,0.1
"BIHAR",165,20260826,0.1
"BIHAR",175,20260826,0.1
"BIHAR",176,20260826,0.1
"BIHAR",193,20260826,0.1
"BIHAR",194,20260826,0.1
"BIHAR",195,20260826,0.1
"BIHAR",224,20260826,0.1
"BIHAR",232,20260826,0.1
"BIHAR",242,20260826,0.1
"HARYANA",252,20260826,0.1
"HARYANA",256,20260826,0.1
"HARYANA",263,20260826,0.1
"HARYANA",281,20260826,0.1
"HARYANA",282,20260826,0.1
"HARYANA",290,20260826,0.1
"HARYANA",294,20260826,0.1
"HARYANA",295,20260826,0.1
"HARYANA",319,20260826,0.1
"PUNJAB",333,20260826,0.1
"PUNJAB",336,20260826,0.1
"PUNJAB",352,20260826,0.1
"PUNJAB",359,20260826,0.1
"PUNJAB",369,20260826,0.1
"PUNJAB",378,20260826,0.1
"PUNJAB",380,20260826,0.1
"PUNJAB",407,20260826,0.1
"PUNJAB",421,20260826,0.1
"PUNJAB",427,20260826,0.1
"PUNJAB",441,20260826,0.1
"PUNJAB",442,20260826,0.1
"UTTAR PRADESH",452,20260826,0.1
"UTTAR PRADESH",454,20260826,0.1
"UTTAR PRADESH",462,20260826,0.1
"UTTAR PRADESH",469,20260826,0.1
"UTTAR PRADESH",483,20260826,0.1
"UTTAR PRADESH",491,20260826,0.1
"UTTAR PRADESH",495,20260826,0.1
"UTTAR PRADESH",505,20260826,0.1
"UTTAR PRADESH",519,20260826,0.1
"UTTAR PRADESH",522,20260826,0.1
"UTTAR PRADESH",536,20260826,0.1
"UTTAR PRADESH",558,20260826,0.1
"UTTAR PRADESH",566,20260826,0.1
"UTTAR PRADESH",570,20260826,0.1
"UTTAR PRADESH",580,20260826,0.1
"UTTAR PRADESH",585,20260826,0.1
"UTTAR PRADESH",586,20260826,0.1
"UTTAR PRADESH",594,20260826,0.1
"UTTAR PRADESH",600,20260826,0.1
"UTTAR PRADESH",601,20260826,0.1
"UTTAR PRADESH",622,20260826,0.1
"UTTAR PRADESH",648,20260826,0.1
"UTTAR PRADESH",651,20260826,0.1
"UTTAR PRADESH",654,20260826,0.1
"UTTAR PRADESH",679,20260826,0.1
"UTTAR PRADESH",693,20260826,0.1
"UTTAR PRADESH",698,20260826,0.1
"UTTAR PRADESH",716,20260826,0.1
"UTTAR PRADESH",725,20260826,0.1
"UTTAR PRADESH",730,20260826,0.1
"UTTAR PRADESH",740,20260826,0.1
"UTTAR PRADESH",742,20260826,0.1
"UTTAR PRADESH",746,20260826,0.1
"UTTAR PRADESH",776,20260826,0.1
"UTTAR PRADESH",804,20260826,0.1
"UTTAR PRADESH",811,20260826,0.1
"UTTAR PRADESH",818,20260826,0.1
"UTTAR PRADESH",829,20260826,0.1
"UTTAR PRADESH",838,20260826,0.1
"UTTAR PRADESH",852,20260826,0.1
