estimand,estimate,std_error,lower90,upper90,lower95,upper95,p_value,sample_share,observations,clusters,complete_grid_cohort_units
control_pre,0,0,0,0,0,0,,0.01,629251,7372,11901
control_post,1.1617475340115,4.6612329023377,-6.50626202616652,8.82975709418952,-7.97560148428379,10.2990965523068,0.803185097016862,0.01,629251,7372,11901
treated_post,-6.51210052264733,100.462609414546,-171.779158739118,158.754957693823,-203.447534718397,190.423333673102,0.948318170118156,0.01,629251,7372,11901
treated_minus_control_post,-7.67384805665883,100.454852814582,-172.92814619786,157.580450084542,-204.59407709906,189.246380985742,0.939110091827849,0.01,629251,7372,11901
