fe_id,model,version,time,beta,lower,upper
1,baseline,original,-5,5.33826859713296,-15.6858258152943,26.3623630095602
1,baseline,original,-4,29.6495862570967,13.9214852810324,45.377687233161
1,baseline,original,-3,35.1086960961255,16.3400032806298,53.8773889116211
1,baseline,original,-2,21.1021785598143,4.49791141882278,37.7064457008057
1,baseline,original,-1,0,0,0
1,baseline,original,0,55.938400337319,38.1792474003946,73.6975532742434
1,baseline,original,1,53.1122749855793,35.6047582259421,70.6197917452164
1,baseline,original,2,56.9948396867692,36.5488308332079,77.4408485403305
1,baseline,original,3,36.4787632376351,16.6676846794529,56.2898417958173
1,baseline,original,4,28.5343144529428,8.06883129998176,48.9997976059039
1,baseline,rotated,-5,-21.5445852577853,-42.5686796702126,-0.520490845358111
1,baseline,rotated,-4,9.487445865908,-6.24065511015628,25.2155468419723
1,baseline,rotated,-3,21.6672691686663,2.89857635317065,40.435961984162
1,baseline,rotated,-2,14.3814650960847,-2.22280204490679,30.9857322370762
1,baseline,rotated,-1,0,0,0
1,baseline,rotated,0,62.6591138010486,44.8999608641242,80.418266737973
1,baseline,rotated,1,66.5537019130384,49.0461851534012,84.0612186726756
1,baseline,rotated,2,77.1569800779579,56.7109712243966,97.6029889315192
1,baseline,rotated,3,63.3616170925534,43.5505385343712,83.1726956507356
1,baseline,rotated,4,62.1378817715907,41.6723986186296,82.6033649245517
2,baseline,original,-5,-3.55322362492603,-18.8122492411135,11.7058019912615
2,baseline,original,-4,0.706897847395462,-10.7109353932992,12.1247310880901
2,baseline,original,-3,5.50047048970997,-7.61444441997237,18.6153853993923
2,baseline,original,-2,0.313259920786285,-11.1679758650392,11.7944957066118
2,baseline,original,-1,0,0,0
2,baseline,original,0,13.268240789524,1.06473113160863,25.4717504474393
2,baseline,original,1,16.5197206802027,3.73972165126064,29.2997197091448
2,baseline,original,2,15.1954483405227,0.617667177724835,29.7732295033206
2,baseline,original,3,14.9869656881249,-0.726401414890697,30.7003327911405
2,baseline,original,4,10.9008474533384,-5.95704573551436,27.7587406421911
2,baseline,rotated,-5,-3.44949028395116,-18.7085159001386,11.8095353322363
2,baseline,rotated,-4,0.784697853126612,-10.6331353875681,12.2025310938213
2,baseline,rotated,-3,5.5523371601974,-7.56257774948493,18.6672520698797
2,baseline,rotated,-2,0.339193256030001,-11.1420425297955,11.8204290418555
2,baseline,rotated,-1,0,0,0
2,baseline,rotated,0,13.2423074542802,1.03879779636491,25.4458171121956
2,baseline,rotated,1,16.4678540097153,3.68785498077321,29.2478530386574
2,baseline,rotated,2,15.1176483347916,0.539867171993684,29.6954294975895
2,baseline,rotated,3,14.8832323471501,-0.830134755865563,30.5965994501657
