fe_id,model,version,period,estimate,se,lower,upper
6,baseline,rotated,post,13.8826016506854,9.38137847245969,-4.50456228067502,32.2697655820457
6,baseline,rotated,pre,1.13191172801461,1.30875784537006,-1.43320651339495,3.69702996942417
7,baseline,original,post,14.1742445901956,5.47204149701742,3.44924033413278,24.8992488462583
7,baseline,original,pre,0.741851158150468,5.24616523355449,-9.5404437565625,11.0241460728634
7,baseline,rotated,post,14.0964445843736,9.13463623117921,-3.80711344061238,32.0000026093595
7,baseline,rotated,pre,0.806684496335461,1.28909071275855,-1.71988687347637,3.33325586614729
8,baseline,original,post,14.1742446018214,5.47198784152976,3.44934550858201,24.8991436950608
8,baseline,original,pre,0.741851163456861,5.24617006030691,-9.54045321151701,11.0241555384307
8,baseline,rotated,post,14.096444595667,9.13462272978066,-3.807086967064,31.9999761583981
8,baseline,rotated,pre,0.806684501918835,1.28909151577416,-1.71988844177466,3.33325744561233
9,baseline,original,post,14.1742445897685,5.47204392814138,3.44923556879028,24.8992536107467
9,baseline,original,pre,0.741851157580464,5.24616845899612,-9.54045007888193,11.0241523940429
9,baseline,rotated,post,14.0964445833264,9.13463836419388,-3.80711762229148,32.0000067889443
9,baseline,rotated,pre,0.806684496282189,1.28909130725549,-1.71988803872223,3.33325703128661
10,baseline,original,post,14.1742445899955,5.47206036136453,3.44920336049184,24.8992858194993
10,baseline,original,pre,0.741851157923017,5.2461840799017,-9.5404806949517,11.0241830107977
10,baseline,rotated,post,14.0964445839514,9.13466564195477,-3.80717108509542,32.0000602529982
10,baseline,rotated,pre,0.806684496293148,1.28909517030452,-1.71989561014823,3.33326460273453
11,baseline,original,post,39.9872265706372,7.23589507249914,25.8051328326281,54.1693203086464
11,baseline,original,pre,17.3320877905223,7.3383253775443,2.94923434369919,31.7149412373454
11,baseline,rotated,post,53.743977825835,13.0987120514397,28.0709739611525,79.4169816905176
11,baseline,rotated,pre,5.8681284111908,1.89363711507867,2.15666786584828,9.57958895653332
12,baseline,original,post,19.0767699318673,5.97818679013675,7.35973913034612,30.7938007333884
12,baseline,original,pre,3.3869025571049,6.48568381229436,-9.32480413010648,16.0986092443163
12,baseline,rotated,post,16.2433043677115,11.0867204187691,-5.48626835974084,37.9728770951639
12,baseline,rotated,pre,5.74812386056802,1.87137882375109,2.08028876458496,9.41595895655108
13,baseline,original,post,14.3244903814313,5.58541311884382,3.37728182971994,25.2716989331428
13,baseline,original,pre,0.777145433599178,5.33655008928223,-9.682300543088,11.2365914102864
13,baseline,rotated,post,13.8841040794158,9.39260200475841,-4.52505757102944,32.293265729861
13,baseline,rotated,pre,1.14413401861217,1.30979151585836,-1.42301017972634,3.71127821695069
14,baseline,original,post,30.8255095517631,6.56611642614558,17.9561578382209,43.6948612653052
14,baseline,original,pre,24.2056112641704,7.32621381609425,9.8464960415859,38.5647264867549
14,baseline,rotated,post,52.8334422040369,12.673257637946,27.9943136668656,77.6725707412082
14,baseline,rotated,pre,5.8656673872755,1.92807679363046,2.08670631233233,9.64462846221867
15,baseline,original,post,14.3037151913294,5.58121718015577,3.36473052832791,25.2426998543309
15,baseline,original,pre,0.780983790647918,5.33061971819694,-9.66683887229714,11.228806453593
15,baseline,rotated,post,13.8826016598208,9.38136356912707,-4.50453306154438,32.269736381186
15,baseline,rotated,pre,1.13191173357176,1.3087591664548,-1.43320909711632,3.69703256425983
16,baseline,original,post,14.3037151763365,5.58127555755066,3.3646160957435,25.2428142569295
16,baseline,original,pre,0.780983782992786,5.33061980716474,-9.66683905432595,11.2288066203115
16,baseline,rotated,post,13.8826016429917,9.38138538862096,-4.5045758437957,32.2697791297791
16,baseline,rotated,pre,1.1319117274468,1.30875908552888,-1.43320894462938,3.69703239952298
17,baseline,original,post,14.1742445605907,5.47197230015941,3.44937592787749,24.899113193304
17,baseline,original,pre,0.741851134827217,5.24616536161296,-9.54044403087573,11.0241463005302
17,baseline,rotated,post,14.0964445237538,9.13460685880613,-3.80705593243882,31.9999449799463
17,baseline,rotated,pre,0.806684498858024,1.28909256917678,-1.71989050946668,3.33325950718273
18,baseline,original,post,14.1742445879594,5.4720470649405,3.44922941896795,24.8992597569509
18,baseline,original,pre,0.741851155411285,5.24617133056915,-9.54045570923083,11.0241580200534
18,baseline,rotated,post,14.0964445793927,9.1346453820373,-3.80713138094556,32.0000205397309
18,baseline,rotated,pre,0.806684495883587,1.28909126115243,-1.71988794876048,3.33325694052766
19,baseline,original,post,14.1742445878067,5.47206094737796,3.44920220973777,24.8992869658756
19,baseline,original,pre,0.741851155192559,5.24618607162406,-9.54048460138626,11.0241869117714
19,baseline,rotated,post,14.0964445789855,9.13466797491887,-3.80717566258691,32.0000648205579
19,baseline,rotated,pre,0.806684495876888,1.28909508860139,-1.71989545042931,3.33326444218309
20,baseline,original,post,14.1742445656611,5.47205454590137,3.44921473425574,24.8992743970665
20,baseline,original,pre,0.741851135180958,5.24617506916544,-9.54046305697523,11.0241653273372
20,baseline,rotated,post,14.0964445374213,9.13465571587944,-3.80715167687537,32.0000407517179
20,baseline,rotated,pre,0.806684492047478,1.28909215652687,-1.71988970749825,3.33325869159321
21,baseline,original,post,14.1742445670884,5.4720864384132,3.44915222750847,24.8993369066683
21,baseline,original,pre,0.741851136748918,5.24618051583788,-9.54047373068909,11.0241760041869
21,baseline,rotated,post,14.0964445409752,9.13468149874136,-3.80720220680228,32.0000912887526
21,baseline,rotated,pre,0.80668449184329,1.28909699762278,-1.71989919607607,3.33326817976265
22,baseline,original,post,14.1742445888868,5.47207826822574,3.44916826258003,24.8993209151936
22,baseline,original,pre,0.741851156869472,5.24618715674047,-9.54048672649844,11.0241890402374
22,baseline,rotated,post,14.0964445818347,9.13468882415296,-3.80721652348563,32.000105687155
22,baseline,rotated,pre,0.806684496079537,1.28909748998657,-1.71990015685511,3.33326914901419
23,baseline,original,post,19.0938809489316,5.90059143077373,7.5289342571294,30.6588276407337
23,baseline,original,pre,3.39578495767915,6.29712618049468,-8.94635556219469,15.737925477553
23,baseline,rotated,post,16.2319501440509,10.7922594296195,-4.92048964981613,37.3843899379179
23,baseline,rotated,pre,5.78072729507971,1.8832589655529,2.08960754903388,9.47184704112555
24,baseline,original,post,14.3219122743847,5.58516793754269,3.37518426919318,25.2686402795762
24,baseline,original,pre,0.775680758928205,5.33631326057395,-9.68330104202024,11.2346625598767
24,baseline,rotated,post,13.8807402807892,9.39211327837049,-4.52746348353735,32.2889440451158
24,baseline,rotated,pre,1.14332408692444,1.30975321188541,-1.42374503700663,3.71039321085551
25,baseline,original,post,14.3217806404666,5.58542113907391,3.37455636939307,25.2690049115402
25,baseline,original,pre,0.774567458660531,5.33657959832827,-9.6849363546941,11.2340712720152
25,baseline,rotated,post,13.8788340691709,9.39264510280642,-4.53041205189617,32.288080190238
25,baseline,rotated,pre,1.14368960140694,1.30979309299181,-1.42345768805632,3.7108368908702
26,baseline,original,post,14.3037151509262,5.58128833837404,3.36459102037973,25.2428392814728
26,baseline,original,pre,0.780983758809694,5.3306259192305,-9.6668510579378,11.2288185755572
26,baseline,rotated,post,13.8826015938286,9.38140155499614,-4.50460757847191,32.2698107661291
26,baseline,rotated,pre,1.13191172305774,1.30875981197995,-1.43321037283637,3.69703381895185
27,baseline,original,post,14.1742445664072,5.47205734144179,3.44920925584332,24.8992798769711
27,baseline,original,pre,0.741851136244194,5.2461793775137,-9.54047150011941,11.0241737726078
27,baseline,rotated,post,14.0964445395378,9.13466143877076,-3.80716289141974,32.0000519704953
27,baseline,rotated,pre,0.806684491968725,1.28909266853754,-1.71989071109948,3.33325969503693
28,baseline,original,post,14.1742445582932,5.47209279888907,3.44913975240961,24.8993493641767
28,baseline,original,pre,0.741851127490325,5.24618938812529,-9.54049112931147,11.0241933842921
28,baseline,rotated,post,14.0964445235248,9.13469589270121,-3.80723043589553,32.0001194829451
28,baseline,rotated,pre,0.806684489797303,1.28909766789821,-1.71990051183777,3.33326949143238
29,baseline,original,post,14.1742446116476,5.47207766045966,3.44916947654045,24.8993197467547
29,baseline,original,pre,0.741851196703275,5.2461870930383,-9.54048656181067,11.0241889552172
29,baseline,rotated,post,14.0964446448836,9.13468395234725,-3.80720691187302,32.0000962016402
29,baseline,rotated,pre,0.806684502339949,1.28909823224746,-1.71990160539933,3.33327061007922
30,baseline,original,post,14.1742445880737,5.47206563085032,3.44919303056767,24.8992961455798
30,baseline,original,pre,0.741851158833427,5.24618784332399,-9.54048807021344,11.0241903878803
30,baseline,rotated,post,14.0964445834393,9.13467913342067,-3.80719752839477,32.0000866952734
30,baseline,rotated,pre,0.806684496028795,1.28909728138307,-1.71989974805052,3.33326874010811
31,baseline,original,post,14.3198488729633,5.58535409601885,3.37275600386305,25.2669417420635
31,baseline,original,pre,0.774252379781907,5.33643566162955,-9.68496932282718,11.233474082391
31,baseline,rotated,post,13.8772187025802,9.39242883108299,-4.53160353369812,32.2860409388585
31,baseline,rotated,pre,1.14311085510116,1.30977568433015,-1.42400231401223,3.71022402421455
32,baseline,original,post,14.1742445949571,5.47207788963322,3.44916901067806,24.8993201792362
32,baseline,original,pre,0.741851177239825,5.2461913593989,-9.54049494318724,11.0241972976669
32,baseline,rotated,post,14.0964446182075,9.13469039422018,-3.807219564388,32.0001088008031
32,baseline,rotated,pre,0.806684491197795,1.28909752308224,-1.71990022660318,3.33326920899877
