fe_id,model,version,period,estimate,se,lower,upper
1,baseline,original,post,46.2117185400491,7.83724411765779,30.8510023313914,61.5724347487067
1,baseline,original,pre,22.7996823775424,7.29752042002671,8.49680517784439,37.1025595772403
1,baseline,rotated,post,66.3738589312378,13.3697134902877,40.1697020066546,92.578015855821
1,baseline,rotated,pre,5.99789871821842,1.93622579888741,2.2029658864618,9.79283154997503
2,baseline,original,post,14.1742445903425,5.47203947998141,3.44924428759768,24.8992448930874
2,baseline,original,pre,0.741851158241422,5.24616268254569,-9.54043875658616,11.024141073069
2,baseline,rotated,post,14.0964445846114,9.13463200405081,-3.80710515535514,31.9999943245779
2,baseline,rotated,pre,0.806684496350714,1.28909009213323,-1.71988565705783,3.33325464975926
3,baseline,original,post,40.0278276882753,7.22541389004959,25.8662766903826,54.1893786861679
3,baseline,original,pre,17.398557690649,7.33021901829322,3.03159241600377,31.7655229652943
3,baseline,rotated,post,53.8378862707124,13.063452510618,28.2339898361517,79.4417827052731
3,baseline,rotated,pre,5.89017553861808,1.89595240643114,2.17417710561099,9.60617397162516
4,baseline,original,post,46.2117185472282,7.83724517017464,30.8510002756754,61.572436818781
4,baseline,original,pre,22.7996823906531,7.2975158284064,8.49681419036554,37.1025505909406
4,baseline,rotated,post,66.3738589489914,13.369714644115,40.1696997629483,92.5780181350346
4,baseline,rotated,pre,5.99789872251703,1.93622432085301,2.20296878765459,9.79282865737946
5,baseline,original,post,30.8255095442801,6.56613437042264,17.9561226606011,43.694896427959
5,baseline,original,pre,24.205611268853,7.32621773756602,9.84648836032508,38.5647341773809
5,baseline,rotated,post,52.8334422036081,12.6732838110637,27.9942623680687,77.6726220391475
5,baseline,rotated,pre,5.86566738607963,1.92807692218609,2.08670605917206,9.64462871298721
6,baseline,original,post,14.3037151795477,5.58127043211822,3.36462614461766,25.2428042144777
6,baseline,original,pre,0.780983787296009,5.33061397825284,-9.66682762556533,11.2287952001573
