reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41
evreg1,1bn.relative_year_bin_aux,32.11137478418279,110.6733735318915,119.5546210791207,44.02323687728467,74.12199740576732,2.0234126047738,0,0,0,0,0,0,-.0883700228338978,9.328418425332838,-70.80768621169213,-9.060779728425191,-28.69250389787144,9.79806711388016,6.610033581696674,-4.894126552193704,6.08235145462962,-24.39611870544872,-35.25072379998478,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux,-6.276408676230786,110.6733735318915,44.02323687728467,66.8211524348004,67.4956549853142,31.79861493149,0,0,0,0,0,0,.0097964155945716,3.530405248555214,-9.410950120645571,-32.34353808408145,-27.82872059508008,-22.26087275443732,-9.221488282669217,-7.329046085170352,-3.002824339074105,-30.24858809905602,-39.78436462999876,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux,1.515306259344088,110.6733735318915,74.12199740576732,67.4956549853142,103.1501221924026,26.68799383246483,0,0,0,0,0,0,-.0084632051461299,3.39103799103748,-29.64941944695653,-29.42483719587489,-43.20990092677603,-16.58699742039822,-9.681033157201924,-14.39310041395273,7.505638563922782,-40.68693923238121,-50.31836655622232,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux,-17.28352246159617,110.6733735318915,2.0234126047738,31.79861493149,26.68799383246483,51.2281441239639,0,0,0,0,0,0,.0764574868935346,-4.01759274257031,8.435682204624113,-23.76720305445928,-17.61703758639727,-33.46610196107988,-15.1292877733577,-17.67743389134955,-17.08552308105504,-8.720565566750645,-26.78633740296022,,,,,,,,,,,,,,,,,,,,
evreg1,6o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
evreg1,7o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
evreg1,8o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
evreg1,9o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
evreg1,10o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
evreg1,wind_direction,-.8241072296342409,110.6733735318915,-.0883700228338978,.0097964155945716,-.0084632051461299,.0764574868935346,0,0,0,0,0,0,.0024477173527802,-.1165820213963113,-.0702565097614019,-.1040272722119639,-.1375066550385516,-.0603914852340503,-.1233364083188506,-.1391732857582163,-.1419258414251455,-.078765067318329,-.0468707813817824,,,,,,,,,,,,,,,,,,,,
evreg1,av_wind_speed,83.30533717096792,110.6733735318915,9.328418425332838,3.530405248555214,3.39103799103748,-4.01759274257031,0,0,0,0,0,0,-.1165820213963113,46.03341880446574,-.5846189542542636,6.738446509161815,9.213676330953012,3.356084914218939,9.612691512444203,6.797045738188169,17.93236706389436,7.524998400266374,8.62540340134807,,,,,,,,,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,7.747829629521383,110.6733735318915,-70.80768621169213,-9.410950120645571,-29.64941944695653,8.435682204624113,0,0,0,0,0,0,-.0702565097614019,-.5846189542542636,112.2983699046095,29.82182588268885,58.73806633252907,9.431779723257176,24.39132906121213,22.608501233275,22.06760914031829,18.93437390480251,18.56758237410134,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,32.02751310050886,110.6733735318915,-9.060779728425191,-32.34353808408145,-29.42483719587489,-23.76720305445928,0,0,0,0,0,0,-.1040272722119639,6.738446509161815,29.82182588268885,66.5824883978059,62.11217194752551,48.07804565145128,33.1788653515966,32.72344588553195,32.41285856269504,30.09335361572113,29.64325832101032,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,35.95836637611221,110.6733735318915,-28.69250389787144,-27.82872059508008,-43.20990092677603,-17.61703758639727,0,0,0,0,0,0,-.1375066550385516,9.213676330953012,58.73806633252907,62.11217194752551,92.29706435042715,49.75160113317299,43.11814999440463,42.73722150516249,41.38200978765949,40.32421706410332,40.45399598757724,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux#1.treat,21.08873595040161,110.6733735318915,9.79806711388016,-22.26087275443732,-16.58699742039822,-33.46610196107988,0,0,0,0,0,0,-.0603914852340503,3.356084914218939,9.431779723257176,48.07804565145128,49.75160113317299,71.729637571956,34.31517176089419,34.78799273634394,34.27102234048421,33.76121462368441,33.65431804383135,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux#1.treat,37.38557522220647,110.6733735318915,6.610033581696674,-9.221488282669217,-9.681033157201924,-15.1292877733577,0,0,0,0,0,0,-.1233364083188506,9.612691512444203,24.39132906121213,33.1788653515966,43.11814999440463,34.31517176089419,55.0128580956605,34.51110325907643,42.56228328012917,24.87414217342722,25.80130713276573,,,,,,,,,,,,,,,,,,,,
evreg1,7.relative_year_bin_aux#1.treat,40.1721501370621,110.6733735318915,-4.894126552193704,-7.329046085170352,-14.39310041395273,-17.67743389134955,0,0,0,0,0,0,-.1391732857582163,6.797045738188169,22.608501233275,32.72344588553195,42.73722150516249,34.78799273634394,34.51110325907643,60.25393107798782,38.01209426335009,31.25276020874073,29.19575628673005,,,,,,,,,,,,,,,,,,,,
evreg1,8.relative_year_bin_aux#1.treat,42.3613059533114,110.6733735318915,6.08235145462962,-3.002824339074105,7.505638563922782,-17.08552308105504,0,0,0,0,0,0,-.1419258414251455,17.93236706389436,22.06760914031829,32.41285856269504,41.38200978765949,34.27102234048421,42.56228328012917,38.01209426335009,75.06499462950083,21.85319470451224,19.38441646123774,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux#1.treat,21.07818996509446,110.6733735318915,-24.39611870544872,-30.24858809905602,-40.68693923238121,-8.720565566750645,0,0,0,0,0,0,-.078765067318329,7.524998400266374,18.93437390480251,30.09335361572113,40.32421706410332,33.76121462368441,24.87414217342722,31.25276020874073,21.85319470451224,96.20459871622981,76.72329084046784,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux#1.treat,13.13032648098706,110.6733735318915,-35.25072379998478,-39.78436462999876,-50.31836655622232,-26.78633740296022,0,0,0,0,0,0,-.0468707813817824,8.62540340134807,18.56758237410134,29.64325832101032,40.45399598757724,33.65431804383135,25.80130713276573,29.19575628673005,19.38441646123774,76.72329084046784,102.9700428717904,,,,,,,,,,,,,,,,,,,,
evreg2,1bn.relative_year_bin_aux,33.00212198752336,110.6733735318915,121.2416611229047,50.06960934564977,72.56092363911171,-4.058096463758209,0,0,0,0,0,0,1.791421985885702,-.0846299596404931,9.91919414931353,-71.59351050783152,-11.85787775312149,-26.49103916148967,14.29575532811283,8.942115800942265,-1.322906874327008,7.484175137161281,-25.44221945801966,-34.85570254767494,-12.02140429736088,-10.20158968874401,-.3827286942683064,2.536401797230001,4.857003799571411,1.983709455512251,-.5252676635299924,-8.319537013928985,-8.106799826933063,-1.444421298364964,12.66388414243782,10.38767603725265,.6884256348889274,-2.45674366340207,-5.307960193745524,-1.569871527279501,.1463424201829489,7.972748298391034,8.009494323833053
evreg2,2.relative_year_bin_aux,-6.875334990440342,110.6733735318915,50.06960934564977,78.98275069231903,68.66540964464929,32.53670548991607,0,0,0,0,0,0,.2113933849386993,.006502423095826,4.367090123220374,-12.46063318654386,-38.00454135291901,-27.68221407036773,-21.70116366546616,-7.167697885797298,-2.244102179473974,-2.955925148954869,-30.1607158993259,-41.16118512067494,-5.670861975626201,-12.4308837960919,-2.477869493082575,.6034949268938408,4.621115484887445,9.281556210029931,3.457500216194264,-4.538920093746056,-6.091006572814916,-.0121276111697031,6.132495593778089,12.68896912037601,2.583306580267371,-.5580605349562047,-4.909833720781193,-9.294851939718438,-3.77445400145707,3.909255630219577,5.858327258246869
evreg2,3.relative_year_bin_aux,2.245580537730334,110.6733735318915,72.56092363911171,68.66540964464929,104.9118487584338,22.15097309034986,0,0,0,0,0,0,3.597834063109269,-.0044327316779532,4.034590285447818,-27.45002810664909,-29.19634327738483,-43.02040385046902,-13.97874688118623,-9.762869713115293,-13.95276781048827,8.333882544487766,-43.69388901442318,-51.44954314141891,-2.2690121072278,-3.677169968793557,-6.989108500175162,-.2206348451396617,-2.417194763584985,-3.870895797302309,.4394668626310065,-10.24032738542166,-9.474159651969519,-3.448563862646178,2.529705437579456,3.827384734315896,7.023745651293674,.1608017722709106,2.193160877746036,3.723146793452693,-.4543910124810041,9.986870144724408,9.352409967770065
evreg2,4.relative_year_bin_aux,-18.51794778496966,110.6733735318915,-4.058096463758209,32.53670548991607,22.15097309034986,57.27703923859909,0,0,0,0,0,0,3.195872058684025,.0850698841839126,-3.656003836987305,12.9511369270419,-23.18341927617059,-15.0405098996296,-36.23881261546473,-16.94428099061892,-16.76815192580383,-19.5952113702598,-6.012149855816662,-27.38456995520929,1.650439535545484,-3.53438994725488,-4.123553771563782,-8.388527756716671,-3.728662768842095,-.0368571823553342,-3.580759933114795,.3427059803943694,-9.233670233506329,-3.231155807039344,-1.823899815977263,3.569785719465164,4.001154292162731,8.305459537013324,3.647358322083426,.003726307932462,3.497388271719959,-.453522454030496,9.232508347462309
evreg2,6o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,7o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,110.6733735318915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1.downup_ac_pop,1.134591376529844,110.6733735318915,1.791421985885702,.2113933849386993,3.597834063109269,3.195872058684025,0,0,0,0,0,0,32.26190059545915,.0009081780528774,2.700912083670887,-1.289154090694377,.3698000542438857,-3.212115308100159,-3.078963146391016,-11.13060749337058,-11.20541784683106,-11.29548450161713,-11.81983825358171,-11.78720905857366,-10.94696062927168,-10.71020178703552,-16.14282402395083,-12.59212389067037,-29.06515969738161,-29.28450621437732,-29.26387992720291,-29.05293435365936,-29.15980082190776,-32.22658275524818,10.93756110916456,10.69679389134029,16.16285991070627,12.58361513534702,29.05935073181184,29.30158713830642,29.28752841159869,29.08849456149266,29.16718225771229
evreg2,wind_direction,-.8242389958409517,110.6733735318915,-.0846299596404931,.006502423095826,-.0044327316779532,.0850698841839126,0,0,0,0,0,0,.0009081780528774,.0024476683112481,-.116626773556699,-.0674799453155108,-.0950420665196065,-.143126439157318,-.0597573513610204,-.1283150942090563,-.1454196595715552,-.1565949327630045,-.0800869615974653,-.0576073629090787,-.0003302490669788,.0177144174255491,-.0128987528201072,-.0007219311067513,-.0057429981883429,-.0014666623887606,-.0177543821153825,.0034109491750879,-.0128175326225656,-.0028691025172957,-.0053601317244358,-.017555818692951,.0111495805498662,-.0012642834994067,.0098528718731624,.0122450094567143,.0289503432510823,.0026662464335388,.0211393969302074
evreg2,av_wind_speed,83.30285240443791,110.6733735318915,9.91919414931353,4.367090123220374,4.034590285447818,-3.656003836987305,0,0,0,0,0,0,2.700912083670887,-.116626773556699,46.0187488871503,-1.440122269944887,5.035943098189506,8.597839176429472,2.1002509055177,9.229909029141101,5.081083627709037,19.23438713108838,8.171486088461046,6.953831466398026,-.0229487387555334,-2.363401784406757,.9770410761886991,-1.384326191747288,-1.100746629131325,-2.945806230842234,.0119308835800624,-2.903513152603287,-2.228244046453782,-2.090033952548585,1.698687644660227,3.34448370380428,1.232014777387096,2.477254365669848,.756424581143694,3.378431364956688,-2.582507381971132,-1.334442941200805,3.245907473839094
evreg2,1bn.relative_year_bin_aux#1.treat,8.697746349542813,110.6733735318915,-71.59351050783152,-12.46063318654386,-27.45002810664909,12.9511369270419,0,0,0,0,0,0,-1.289154090694377,-.0674799453155108,-1.440122269944887,131.4649848869689,43.86354849143583,61.84941021839376,3.445344233915521,25.34497545778465,23.68347399871586,23.370082275646,20.44226026427961,19.94720123515384,12.85018678027569,10.61594859960137,.966046742640231,-2.163243216714355,1.768392806906736,1.884990475957836,1.892184713370322,1.918598768918787,1.75039663797292,7.203890847705389,-43.82338257796283,-26.12463326307278,-7.444456828510702,4.891664645970562,-6.861003233019028,-7.061639598439436,-7.157715805363787,-6.898506975404966,-7.035154890865583
evreg2,2.relative_year_bin_aux#1.treat,31.19453848835718,110.6733735318915,-11.85787775312149,-38.00454135291901,-29.19634327738483,-23.18341927617059,0,0,0,0,0,0,.3698000542438857,-.0950420665196065,5.035943098189506,43.86354849143583,83.14106716496974,67.13593225886028,46.47561430056589,34.84801759040682,33.97497034769912,34.09599397392999,31.58405066556542,31.17785943584263,6.121392743536084,12.36629433169752,2.989657301142927,-.36514015428424,-.2765519355674586,-.3856693226016894,-.221633398238755,-.4335208469814174,-.7373830139863824,7.038851670111741,-26.20912688640811,-30.23936892235577,-11.9012543661473,1.662016458385764,-5.870512332957087,-5.531910130516876,-6.066744649695008,-5.569529765774853,-5.721345954766414
evreg2,3.relative_year_bin_aux#1.treat,35.02549336849047,110.6733735318915,-26.49103916148967,-27.68221407036773,-43.02040385046902,-15.0405098996296,0,0,0,0,0,0,-3.212115308100159,-.143126439157318,8.597839176429472,61.84941021839376,67.13593225886028,97.32750684901055,43.23734496638311,44.20213716340763,43.6200745573136,42.60996654342075,41.53871546526189,41.69497020227637,2.958114159287837,4.054517948200746,7.45238284050654,.5137111492065763,3.268173581381764,3.031678849249833,3.290401101031179,3.181087032511508,2.872985259617473,10.80827734402348,-18.30440434981566,-14.71505296036509,-19.96696155948097,.503183499656945,-9.704551343876789,-9.194692694859359,-9.795987985050937,-9.486349925985937,-9.402436534967773
evreg2,4.relative_year_bin_aux#1.treat,16.98776176054126,110.6733735318915,14.29575532811283,-21.70116366546616,-13.97874688118623,-36.23881261546473,0,0,0,0,0,0,-3.078963146391016,-.0597573513610204,2.1002509055177,3.445344233915521,46.47561430056589,43.23734496638311,71.31581690921821,29.90039563936211,30.21662114871434,29.8112546398307,29.02736509120517,28.93015668734453,-1.63963679574642,3.400916919851294,4.142267214913257,8.320776282726841,2.943154142728952,2.800618179960127,3.012777129721821,2.807893751077646,2.838405632323202,2.525036288399473,-2.285302801881666,-5.17067216251167,-2.675816698414968,-10.89391585015903,-2.165563402882324,-1.956348937760142,-2.08106370181925,-1.745503115765341,-1.803416310376023
evreg2,6.relative_year_bin_aux#1.treat,35.40481512778543,110.6733735318915,8.942115800942265,-7.167697885797298,-9.762869713115293,-16.94428099061892,0,0,0,0,0,0,-11.13060749337058,-.1283150942090563,9.229909029141101,25.34497545778465,34.84801759040682,44.20213716340763,29.90039563936211,73.70108023369244,56.78586814421937,56.75103695939995,41.56744402832525,41.94553506070157,1.809665654125327,3.824654257988961,4.308218807296002,2.217701935354388,21.76333290748484,16.97612242313522,15.98526337301256,14.10589602846266,16.94455155375213,20.32284120951206,-7.360271452355799,-11.05947965688703,-8.424581316979529,2.263059513969738,-49.40064303008378,-46.3147978995293,-33.03424454433114,-34.56358558865057,-32.09285973952681
evreg2,7.relative_year_bin_aux#1.treat,35.44484442262023,110.6733735318915,-1.322906874327008,-2.244102179473974,-13.95276781048827,-16.76815192580383,0,0,0,0,0,0,-11.20541784683106,-.1454196595715552,5.081083627709037,23.68347399871586,33.97497034769912,43.6200745573136,30.21662114871434,56.78586814421937,82.54384175874775,52.98603875643272,45.40336868304379,40.41096824177294,1.856547058716238,3.585644612775627,4.432387726406983,2.290923490552618,19.5611391162443,22.27865689882169,18.26318091039342,15.74718206608093,16.94301340579155,20.30517485029812,-7.194626437080127,-10.49965354524964,-8.377003348909284,2.364228847609936,-45.00317545895544,-54.28546473675229,-38.30366153790907,-31.26019985286993,-31.7692064743841
evreg2,8.relative_year_bin_aux#1.treat,45.10218445431893,110.6733735318915,7.484175137161281,-2.955925148954869,8.333882544487766,-19.5952113702598,0,0,0,0,0,0,-11.29548450161713,-.1565949327630045,19.23438713108838,23.370082275646,34.09599397392999,42.60996654342075,29.8112546398307,56.75103695939995,52.98603875643272,93.23715158360618,38.02087588073812,37.13369511757226,1.94057657640907,3.723604896621323,4.437901863780968,2.291640843377126,15.81922263087121,12.3347866372017,18.6954500849132,13.38197336750286,17.12103644137604,20.38739924701429,-7.703333978948018,-11.04242906132723,-8.670829772366178,2.269985462794776,-36.66317988106343,-34.91898669178496,-42.67835529315858,-30.63615054945602,-34.060300048251
evreg2,9.relative_year_bin_aux#1.treat,18.371913806008,110.6733735318915,-25.44221945801966,-30.1607158993259,-43.69388901442318,-6.012149855816662,0,0,0,0,0,0,-11.81983825358171,-.0800869615974653,8.171486088461046,20.44226026427961,31.58405066556542,41.53871546526189,29.02736509120517,41.56744402832525,45.40336868304379,38.02087588073812,127.3747205076462,101.8065873387115,1.57162589632648,3.378186071053144,4.219498560310979,2.1633029833246,14.76241384281942,16.4270271749207,15.02154218449231,24.17175181705056,17.77500049992051,19.91931764483211,-8.500244513490975,-11.2248565255802,-8.979557986810908,2.528539139724619,-37.37988920504933,-39.42387611019697,-41.67874975186044,-59.4322316969856,-42.09520829299594
evreg2,10.relative_year_bin_aux#1.treat,9.249420847705137,110.6733735318915,-34.85570254767494,-41.16118512067494,-51.44954314141891,-27.38456995520929,0,0,0,0,0,0,-11.78720905857366,-.0576073629090787,6.953831466398026,19.94720123515384,31.17785943584263,41.69497020227637,28.93015668734453,41.94553506070157,40.41096824177294,37.13369511757226,101.8065873387115,126.1779652281197,1.395383895521979,3.326433106354767,4.183214691195865,2.113691684040309,15.23707658227581,13.40039352252187,15.34413713934909,20.68190861418206,23.97524727318002,20.40439401625679,-8.156943295704613,-11.25718467491849,-9.123898696003703,2.591701108833037,-32.41893210705265,-29.72215042313386,-37.24096226828274,-51.54952496381112,-54.71057491064123
evreg2,1bn.relative_year_bin_aux#1.downup_ac_pop,7.117513686516181,110.6733735318915,-12.02140429736088,-5.670861975626201,-2.2690121072278,1.650439535545484,0,0,0,0,0,0,-10.94696062927168,-.0003302490669788,-.0229487387555334,12.85018678027569,6.121392743536084,2.958114159287837,-1.63963679574642,1.809665654125327,1.856547058716238,1.94057657640907,1.57162589632648,1.395383895521979,46.98610144956225,20.65933230413488,14.7171146657487,8.917778242851886,10.99614562910226,10.81630520661583,10.72358626658954,10.6783611545182,10.88039353095008,10.95824417036463,-46.95605534938628,-20.64466037088718,-14.72171926197707,-8.921992263215456,-11.03548614232812,-10.85967384697226,-10.76376494478991,-10.71203323660792,-10.92151931459641
evreg2,2.relative_year_bin_aux#1.downup_ac_pop,2.040286177266779,110.6733735318915,-10.20158968874401,-12.4308837960919,-3.677169968793557,-3.53438994725488,0,0,0,0,0,0,-10.71020178703552,.0177144174255491,-2.363401784406757,10.61594859960137,12.36629433169752,4.054517948200746,3.400916919851294,3.824654257988961,3.585644612775627,3.723604896621323,3.378186071053144,3.326433106354767,20.65933230413488,26.60911393814596,13.09366931676363,7.743548100069156,10.18939628161031,10.11825760533489,10.11702460774116,9.995502356995866,10.11656970628194,10.69852278229444,-20.67261081208031,-26.58689779354566,-13.12730271967065,-7.768240265892102,-10.22950371288436,-10.15565124184318,-10.15900208578777,-10.03636421480613,-10.14201602346018
evreg2,3.relative_year_bin_aux#1.downup_ac_pop,7.701063620050977,110.6733735318915,-.3827286942683064,-2.477869493082575,-6.989108500175162,-4.123553771563782,0,0,0,0,0,0,-16.14282402395083,-.0128987528201072,.9770410761886991,.966046742640231,2.989657301142927,7.45238284050654,4.142267214913257,4.308218807296002,4.432387726406983,4.437901863780968,4.219498560310979,4.183214691195865,14.7171146657487,13.09366931676363,28.05754074799345,17.95862868292095,15.67877971577402,15.59436731581432,15.62119178188232,15.55002414178236,15.61144216394362,16.15281991395047,-14.67899538494475,-13.09336067997581,-28.04454960830169,-17.95205673570732,-15.68091444605708,-15.613051221449,-15.6260356657252,-15.547179355836,-15.62464051084007
evreg2,4.relative_year_bin_aux#1.downup_ac_pop,.4359042787197682,110.6733735318915,2.536401797230001,.6034949268938408,-.2206348451396617,-8.388527756716671,0,0,0,0,0,0,-12.59212389067037,-.0007219311067513,-1.384326191747288,-2.163243216714355,-.36514015428424,.5137111492065763,8.320776282726841,2.217701935354388,2.290923490552618,2.291640843377126,2.1633029833246,2.113691684040309,8.917778242851886,7.743548100069156,17.95862868292095,21.94876721317831,12.54941695657722,12.59042032153939,12.56858117965999,12.55386690279907,12.578725336823,12.58123575373062,-8.903313506784317,-7.730293539791305,-17.96049752861826,-21.95066446611209,-12.55484466835014,-12.60359842122664,-12.58272493781491,-12.55787890975043,-12.58592378647555
evreg2,6.relative_year_bin_aux#1.downup_ac_pop,7.157859024452048,110.6733735318915,4.857003799571411,4.621115484887445,-2.417194763584985,-3.728662768842095,0,0,0,0,0,0,-29.06515969738161,-.0057429981883429,-1.100746629131325,1.768392806906736,-.2765519355674586,3.268173581381764,2.943154142728952,21.76333290748484,19.5611391162443,15.81922263087121,14.76241384281942,15.23707658227581,10.99614562910226,10.18939628161031,15.67877971577402,12.54941695657722,53.28072287923337,39.54182168050182,36.34662262675539,37.38618823647812,34.86965759874553,29.01878458387984,-10.99519295186438,-10.18815665883425,-15.7166777447297,-12.53306318847876,-53.24122167615504,-39.59665788508513,-36.37972289833777,-37.42838169421311,-34.89349854925045
evreg2,7.relative_year_bin_aux#1.downup_ac_pop,-.7896906955446239,110.6733735318915,1.983709455512251,9.281556210029931,-3.870895797302309,-.0368571823553342,0,0,0,0,0,0,-29.28450621437732,-.0014666623887606,-2.945806230842234,1.884990475957836,-.3856693226016894,3.031678849249833,2.800618179960127,16.97612242313522,22.27865689882169,12.3347866372017,16.4270271749207,13.40039352252187,10.81630520661583,10.11825760533489,15.59436731581432,12.59042032153939,39.54182168050182,50.07538958394792,38.33886350773706,40.00159146549969,37.65954610924486,29.21801310390297,-10.81449616121346,-10.10809770728903,-15.64331469103886,-12.57928267687793,-39.51460192756167,-50.10846001425237,-38.35818984615405,-40.03075662147062,-37.67027218405343
evreg2,8.relative_year_bin_aux#1.downup_ac_pop,7.458067221956049,110.6733735318915,-.5252676635299924,3.457500216194264,.4394668626310065,-3.580759933114795,0,0,0,0,0,0,-29.26387992720291,-.0177543821153825,.0119308835800624,1.892184713370322,-.221633398238755,3.290401101031179,3.012777129721821,15.98526337301256,18.26318091039342,18.6954500849132,15.02154218449231,15.34413713934909,10.72358626658954,10.11702460774116,15.62119178188232,12.56858117965999,36.34662262675539,38.33886350773706,45.32265349017572,41.14879261292956,37.55702902715061,29.22153796141292,-10.69070673232523,-10.12267357198717,-15.64048469526495,-12.53698205224696,-36.31124962474921,-38.37217984528799,-45.35411133889369,-41.18327319250523,-37.58013515305774
