Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-23.016628276330685,0.24355021680847194,-23.49397792970221,-22.53927862295916,343075.0,60058.0,343075.0,60058.0
Effect_2,-41.04661940290492,0.5974439369577663,-42.21758800212396,-39.875650803685886,316976.0,57488.0,316976.0,57488.0
Effect_3,-11.923166023775723,0.41203282084461207,-12.730735513079606,-11.11559653447184,295373.0,56186.0,295373.0,56186.0
Effect_4,-15.543731614109273,0.7926331830706497,-17.09726410587909,-13.990199122339456,283351.0,55613.0,283351.0,55613.0
Effect_5,-4.29673339371353,0.4251684480271227,-5.13004823920948,-3.4634185482175797,272004.0,55186.0,272004.0,55186.0
Effect_6,-14.404784396681361,0.5457217926245057,-15.474379455804028,-13.335189337558694,259577.0,54845.0,259577.0,54845.0
Average_Total_Effect,-35.41740664027488,0.516369724837334,-36.42947270366292,-34.40534057688685,1125991.0,339376.0,1125991.0,339376.0
Placebo_1,-19.403249667626127,0.8006095160801052,-20.972415484823173,-17.83408385042908,269946.0,41674.0,269946.0,41674.0
Placebo_2,-18.15737067138623,2.732341224010346,-23.512661063920596,-12.80208027885186,214549.0,35820.0,214549.0,35820.0
Placebo_3,-4.548967738240863,4.774586288860831,-13.906984905486846,4.809049429005119,171371.0,32575.0,171371.0,32575.0
Placebo_4,-3.135146654006182,4.783031223641488,-12.509715589274043,6.23942228126168,143090.0,30558.0,143090.0,30558.0
Placebo_5,-3.371197859288246,4.044743383456461,-11.29874921756959,4.556353498993099,120098.0,29231.0,120098.0,29231.0
Placebo_6,2.108207236844419,4.231345199735338,-6.1850769607932845,10.401491434482121,114945.0,28633.0,114945.0,28633.0
