Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-7.360768457185825,11.292269833832492,-29.493210635205614,14.771673720833961,5335713.0,608857.0,5335713.0,608857.0
Effect_2,-35.05414383515677,19.06717060795955,-72.42511151383817,2.316823843524631,4737519.0,584289.0,4737519.0,584289.0
Effect_3,1.279224360255848,7.236853731117061,-12.904748314117905,15.4631970346296,3986548.0,364963.0,3986548.0,364963.0
Effect_4,-5.542780819656196,7.231331685545198,-19.71593048358811,8.630368844275717,3437237.0,327670.0,3437237.0,327670.0
Effect_5,-4.306685615062003,8.341978730305435,-20.656663486259824,12.04329225613582,2912644.0,300835.0,2912644.0,300835.0
Effect_6,12.974496626044509,11.839354182799903,-10.230211172456944,36.17920442454596,2417486.0,290209.0,2417486.0,290209.0
Average_Total_Effect,-12.474886256701021,9.8982502409974,-31.87510023902084,6.925327725618795,7203686.0,2476823.0,7203686.0,2476823.0
Placebo_1,-9.243166275543187,7.992652254943858,-24.908476836185997,6.422144285099625,4568372.0,415149.0,4568372.0,415149.0
Placebo_2,-1.1185132464347802,20.12830360873504,-40.56926338944306,38.3322368965735,3458151.0,348584.0,3458151.0,348584.0
Placebo_3,24.25818004432586,22.17089791706614,-19.19598137803787,67.7123414666896,2236908.0,109631.0,2236908.0,109631.0
Placebo_4,14.24195517671311,23.46382185636338,-31.74629060142287,60.230200954849096,1241699.0,58078.0,1241699.0,58078.0
Placebo_5,-29.20355846081939,34.98039976190991,-97.7638821589763,39.35676523733751,359571.0,18017.0,359571.0,18017.0
