Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-19.736392881112167,5.455145509160436,-30.42828160949204,-9.044504152732296,4046659.0,542963.0,4046659.0,542963.0
Effect_2,-16.859542567704587,5.609815870059023,-27.8545796329215,-5.864505502487674,3564818.0,541380.0,3564818.0,541380.0
Effect_3,-9.131011317125719,6.12912831934955,-21.143882079675347,2.8818594454239097,3139912.0,518041.0,3139912.0,518041.0
Effect_4,-22.794837965796713,9.841348377537761,-42.08352634508242,-3.5061495865110075,2790913.0,505986.0,2790913.0,505986.0
Effect_5,2.304338301051841,14.699838578668649,-26.50681589169117,31.115492493794854,2636870.0,497740.0,2636870.0,497740.0
Effect_6,7.1064242592076745,11.04948098247378,-14.550160514301187,28.763009032716536,2569868.0,496743.0,2569868.0,496743.0
Average_Total_Effect,-21.99861383384799,13.62053078718181,-48.69436362704333,4.697135959347349,6606549.0,3102853.0,6606549.0,3102853.0
Placebo_1,-19.663694158464835,7.285450058421471,-33.94291388413615,-5.384474432793519,3484155.0,460717.0,3484155.0,460717.0
Placebo_2,-3.7712940533591244,18.272758932415176,-39.58524345907544,32.04265535235719,2665769.0,380842.0,2665769.0,380842.0
Placebo_3,-10.43145755227685,9.49004664672053,-29.0316071914542,8.1686920869005,2368529.0,295404.0,2368529.0,295404.0
Placebo_4,-7.565540658337054,5.301108988577356,-17.955523354070223,2.8244420373961168,2057727.0,120397.0,2057727.0,120397.0
Placebo_5,-10.80036356516208,6.084653094258667,-22.726064488329264,1.1253373580051065,1807427.0,46554.0,1807427.0,46554.0
Placebo_6,-9.997967961758475,9.60782818884431,-28.828965181542017,8.83302925802507,1736239.0,45541.0,1736239.0,45541.0
