Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-3.1992687873141192,0.7850009427688966,-4.737842362971145,-1.6606952116570937,1898218.0,443163.0,1898218.0,443163.0
Effect_2,-5.155566276843491,0.8066539009216926,-6.736578870638749,-3.574553683048232,1576487.0,396504.0,1576487.0,396504.0
Effect_3,-0.16535398618095834,1.6250608981582393,-3.35041481925542,3.0197068468935035,1332231.0,361316.0,1332231.0,361316.0
Effect_4,-0.2022954383378878,0.7662905047359492,-1.704197229315368,1.2996063526395922,1217896.0,349608.0,1217896.0,349608.0
Effect_5,4.925713207770932,1.24683139006906,2.4819685884415628,7.369457827100302,1167551.0,341567.0,1167551.0,341567.0
Effect_6,5.1823913272327555,1.6672748988776367,1.914592573104927,8.450190081360585,1146285.0,339841.0,1146285.0,339841.0
Average_Total_Effect,-0.1435590670499779,2.2601474627906812,-4.5733666938692945,4.286248559769339,4861134.0,2231999.0,4861134.0,2231999.0
Placebo_1,-2.7771739681023666,0.5314590518751042,-3.818814569035375,-1.735533367169358,1447835.0,358915.0,1447835.0,358915.0
Placebo_2,-18.32082676068544,2.176317891475035,-22.586331446886657,-14.05532207448422,941226.0,266446.0,941226.0,266446.0
Placebo_3,-11.854711725607304,3.9478681610143007,-19.592391136907708,-4.1170323143069,712206.0,208328.0,712206.0,208328.0
Placebo_4,-4.881418635011791,3.3524855753779432,-11.4521696214426,1.6893323514190186,463668.0,95367.0,463668.0,95367.0
Placebo_5,-5.439281202979387,2.8199191419433225,-10.966221160503391,0.08765875454461725,235609.0,38034.0,235609.0,38034.0
Placebo_6,1.7693154263506379,2.9933547733627957,-4.097552122391497,7.636182975092773,217343.0,36530.0,217343.0,36530.0
