Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-18.80511861149023,10.400226225842593,-39.18918744521065,1.578950222230187,1757404.0,64571.0,1757404.0,64571.0
Effect_2,-35.03089832439274,14.455394953371222,-63.36295181530239,-6.698844833483086,1704513.0,64566.0,1704513.0,64566.0
Effect_3,0.42244416134751434,5.453495464812724,-10.266210539537946,11.111098862232973,1648547.0,64561.0,1648547.0,64561.0
Effect_4,-10.50456000419052,8.52415917118441,-27.21160497819876,6.202484969817721,1593595.0,64555.0,1593595.0,64555.0
Effect_5,-8.555213909273482,11.999748600464214,-32.07428898971826,14.963861171171297,1540054.0,64491.0,1540054.0,64491.0
Effect_6,-2.737415366079524,7.523710503610072,-17.483616983260976,12.00878625110193,1493382.0,64490.0,1493382.0,64490.0
Average_Total_Effect,-25.3317731333293,11.879208231953298,-48.6145934328095,-2.0489528338491034,2347569.0,387234.0,2347569.0,387234.0
Placebo_1,-2.4688757446250866,10.685884176689644,-23.412823873903235,18.47507238465306,1680669.0,47255.0,1680669.0,47255.0
Placebo_2,-41.58372546985057,28.567798689161688,-97.57558201819805,14.4081310784969,1572499.0,44566.0,1572499.0,44566.0
Placebo_3,-8.90549579477311,9.651341589358228,-27.8217777124088,10.01078612286258,1463942.0,43105.0,1463942.0,43105.0
Placebo_4,-3.845640902084211,6.62553723118587,-16.831455253437746,9.140173449269323,1357735.0,42066.0,1357735.0,42066.0
Placebo_5,-4.940716052138014,6.762537374374698,-18.195045750018483,8.313613645742453,1263088.0,41380.0,1263088.0,41380.0
Placebo_6,-4.140549820888683,10.419828011287963,-24.563037448114706,16.28193780633734,1236280.0,40716.0,1236280.0,40716.0
