Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,1.6749003055325857,0.861742746553322,-0.014084441650553003,3.3638850527157245,1815607.0,448956.0,1815607.0,448956.0
Effect_2,-3.6322826601528346,0.8324620538596365,-5.263878304213964,-2.0006870160917045,1510282.0,404750.0,1510282.0,404750.0
Effect_3,3.448338194320248,1.5429535702126793,0.4242047668859028,6.472471621754593,1270250.0,372378.0,1270250.0,372378.0
Effect_4,6.955865839737926,0.6084609064426113,5.763304377109812,8.14842730236604,1171821.0,362597.0,1171821.0,362597.0
Effect_5,7.701701290417313,1.0194906924191276,5.7035362507020215,9.699866330132606,1131727.0,355473.0,1131727.0,355473.0
Effect_6,-1.8084055379288724,1.364842240345327,-4.483447173584674,0.8666360977269292,1116945.0,354298.0,1116945.0,354298.0
Average_Total_Effect,4.841904250834961,2.0888368401543915,0.7478592745519039,8.93594922711802,5029422.0,2298452.0,5029422.0,2298452.0
Placebo_1,-1.9522724650681902,0.37762864335990465,-2.692411005584324,-1.2121339245520564,1353742.0,367007.0,1353742.0,367007.0
Placebo_2,-9.661885018362915,1.9904358800507633,-13.563067656798697,-5.760702379927132,891187.0,281298.0,891187.0,281298.0
Placebo_3,-2.504510366290692,3.5319207152687775,-9.426947764468443,4.417927031887059,668403.0,223971.0,668403.0,223971.0
Placebo_4,-7.738100085873931,2.9967066826649944,-13.611537256127821,-1.8646629156200412,405090.0,95842.0,405090.0,95842.0
Placebo_5,4.200846607829352,2.8575475755259983,-1.3998437243113546,9.801536939970058,165641.0,35501.0,165641.0,35501.0
Placebo_6,20.022980116662463,2.851266837784812,14.434599804290823,25.611360429034104,158030.0,34796.0,158030.0,34796.0
