reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bno.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,5o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-.2451612643320879,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.0001019351021214,-.0246967991159287,-.0041229805586816,-.0211250769222091,-.0138621884024398,-.010028328952935,-.007790085513948,-.0310039557814401,-.0086115156342934,-.0291090887318018,-.0407375140783574
evreg1,av_wind_speed,158.1025651690136,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0246967991159287,33.95933755880129,-3.43156958122537,13.26437846233844,9.27794216685969,15.00320526757845,16.85424236970683,7.685241763379893,12.81541460241706,13.82345554955307,17.86160654568048
evreg1,1bn.relative_year_bin_aux#1.treat,-1.329785152714773,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0041229805586816,-3.43156958122537,1879.352829359795,1182.108635510437,1345.030656538161,491.8063518648174,600.3011525063514,1033.875410400346,1299.951156579542,823.7967011232045,1474.36802396255
evreg1,2.relative_year_bin_aux#1.treat,79.49102754028331,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0211250769222091,13.26437846233844,1182.108635510437,2055.604055590513,1335.954067873323,757.5618432716147,670.349236074299,1040.138247773413,1279.3198763538,825.8480942510309,1501.11553059885
evreg1,3.relative_year_bin_aux#1.treat,96.79789842573902,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0138621884024398,9.27794216685969,1345.030656538161,1335.954067873323,2259.906833594631,492.5766067803066,880.0122767048657,1027.1334305774,1244.028343165412,821.3038252371394,1467.649796019347
evreg1,4.relative_year_bin_aux#1.treat,60.87678429044896,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.010028328952935,15.00320526757845,491.8063518648174,757.5618432716147,492.5766067803066,2849.392383565882,944.9914175479563,925.7046865951296,1521.106948913522,588.1099522012389,1476.603450245588
evreg1,5.relative_year_bin_aux#1.treat,53.91383755744819,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.007790085513948,16.85424236970683,600.3011525063514,670.349236074299,880.0122767048657,944.9914175479563,1622.543420267111,834.718905115874,1149.611133454234,531.5279204053267,948.1280098157837
evreg1,6.relative_year_bin_aux#1.treat,61.51505564167729,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0310039557814401,7.685241763379893,1033.875410400346,1040.138247773413,1027.1334305774,925.7046865951296,834.718905115874,1938.092119622727,1163.679216539852,981.8737888635285,1676.897768312662
evreg1,7.relative_year_bin_aux#1.treat,26.86641215490761,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0086115156342934,12.81541460241706,1299.951156579542,1279.3198763538,1244.028343165412,1521.106948913522,1149.611133454234,1163.679216539852,2466.33980133681,807.9419649058393,2084.532205697194
evreg1,9.relative_year_bin_aux#1.treat,70.08474974088082,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0291090887318018,13.82345554955307,823.7967011232045,825.8480942510309,821.3038252371394,588.1099522012389,531.5279204053267,981.8737888635285,807.9419649058393,1735.962290498919,1302.578022454113
evreg1,10.relative_year_bin_aux#1.treat,56.43396842889028,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0407375140783574,17.86160654568048,1474.36802396255,1501.11553059885,1467.649796019347,1476.603450245588,948.1280098157837,1676.897768312662,2084.532205697194,1302.578022454113,4314.324378079164
