reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41
evreg1,1bn.relative_year_bin_aux,-188.396412325506,22.74779999130179,-8.281961877524166,2.38209357579e-16,***,517.4624044442695,445.2081698134509,373.5286529404918,288.6835481688276,211.2748179719672,137.6994871868515,77.59677135087331,-107.205160722965,-191.5113671606688,0,1.779026213722012,-45.36474707568237,.5572878398164176,-16.16303763516991,-28.63361176665367,-8.763704885536258,-40.46131730271323,-25.28272101728717,-55.2460323778198,9.00021447005008,-112.8475453382347,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux,-153.9771774089582,19.68284280593758,-7.822913535767761,8.86989786957e-15,***,445.2081698134509,387.4143009232489,328.4754508181126,256.8119569689038,189.2692350752307,123.5253662131804,67.6728034105096,-91.73451138753171,-166.7693746437983,0,1.515800732380773,-40.90632005479935,-7.55230015171422,-20.89659605233029,-32.1132214120659,-14.44574779892477,-40.02268364752793,-24.2754610148042,-48.71293920040851,6.230502066273186,-99.64984215248531,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux,-106.6079009402268,16.89437268191256,-6.310260993257433,3.52333455606e-10,***,373.5286529404918,328.4754508181126,285.4198283153535,228.4101681748963,171.1964497192155,113.8182196699174,60.15949777477355,-76.98326462785239,-143.5564052671833,0,1.226517797575508,-33.39179406808245,-5.897641706673679,-17.36669222246202,-26.87488562327874,-11.83640466904523,-32.35873296631601,-20.1681007354395,-40.41852947912426,4.014795707493785,-84.84230523209443,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux,-62.40932010443324,13.80943198596128,-4.519325644087228,6.62044173106e-06,***,288.6835481688276,256.8119569689038,228.4101681748963,190.7004117748904,147.6876239007742,100.1710579017609,52.05690634035685,-60.19734112763897,-112.3633004509551,0,.8913416916776616,-27.86760600200904,-8.835539760141666,-17.76757962563357,-24.83150533030188,-13.81482325949059,-28.34569657345242,-17.19335965020187,-33.05226108962508,1.557928771439087,-70.91806405704938,,,,,,,,,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux,-30.42735308966475,10.94433873963607,-2.78019109363537,.0054910112414115,***,211.2748179719672,189.2692350752307,171.1964497192155,147.6876239007742,119.7785504478989,84.0116551682529,43.96984748283813,-46.40210533684135,-85.51141885161734,0,.627421961887749,-20.59242215684172,-6.022022276972979,-13.04245735215334,-17.45141859907728,-9.625162108745936,-19.40099726461685,-11.91059143194678,-24.7643798070358,.5203718146310795,-54.71609052415901,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux,-6.21407181423546,7.924016801748794,-.7842072991142627,.4330249192744853,,137.6994871868515,123.5253662131804,113.8182196699174,100.1710579017609,84.0116551682529,62.79004227439717,33.60534241142564,-32.50279307786758,-60.57766869283548,0,.3890230626894436,-13.0117879166274,-.6325157351680847,-5.874272901151078,-8.894706520814564,-3.885656323684894,-9.207449785451129,-6.515902624657296,-15.52726383190828,-.7638725753299382,-36.24943467114795,,,,,,,,,,,,,,,,,,,,
evreg1,7.relative_year_bin_aux,-17.98214503143632,4.559724714133528,-3.94369093723971,.000083410838647,***,77.59677135087331,67.6728034105096,60.15949777477355,52.05690634035685,43.96984748283813,33.60534241142564,20.79108946868008,-21.22277031988052,-34.64642664060424,0,.2498861183417787,-8.341948683749591,2.02102784925356,-.9038850849618932,-2.110426795641268,.4883769805043154,-1.546227852829666,-.5606661723841826,-7.794801614185181,1.184445322208651,-18.06686062082592,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux,45.03062809711157,5.501583028912786,8.18503108295549,5.19253611129e-16,***,-107.205160722965,-91.73451138753171,-76.98326462785239,-60.19734112763897,-46.40210533684135,-32.50279307786758,-21.22277031988052,30.26741582402119,51.81518967828412,0,-.4141148063913823,8.436777294435249,-2.007174578787311,.4804701179563683,2.210258855086621,-2.182871241843793,1.218003770503502,-.3758298533274539,9.609405752875036,-3.645932268133621,20.60622197214841,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux,49.42290134150846,10.13589619726893,4.87602678437307,1.18073177046e-06,***,-191.5113671606688,-166.7693746437983,-143.5564052671833,-112.3633004509551,-85.51141885161734,-60.57766869283548,-34.64642664060424,51.81518967828412,102.7363917218107,0,-.6973811940031748,9.580978565415593,-1.259216435134639,2.123755624018571,7.39238766943764,-.7563983304851735,6.566006288639782,3.642869884489659,18.60216351332554,-1.675766390387735,42.02527928798754,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
