reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10
evreg1,1.post,30.30731569663633,3.927499781018317,7.716694433214784,1.99486451085e-14,***,15.42525452989893,0,-2.002684911525262,-.2637953466965978,4.427180537968001,2.666987816203236,,,,
evreg1,1o.treat,0,,,,,0,0,0,0,0,0,,,,
evreg1,downup_ac,-9.604620822790132,3.755835843496834,-2.557252559219373,.0106341760692761,**,-2.002684911525262,0,14.10630288329557,.0731227378202179,-1.378179220508632,-.0804481488645919,,,,
evreg1,wind_direction,-1.240432651994697,.0968032129165267,-12.81396158890223,5.43548267019e-36,***,-.2637953466965978,0,.0731227378202179,.0093708620309624,-.1652214917094057,.0240795208099099,,,,
evreg1,av_wind_speed,51.26716918629321,6.416506175622554,7.989888544184105,2.43121444170e-15,***,4.427180537968001,0,-1.378179220508632,-.1652214917094057,41.17155150180238,-5.393197168003956,,,,
evreg1,1.post#1.treat,24.00357242013069,8.731348581392959,2.749125429636812,.0060370453901293,***,2.666987816203236,0,-.0804481488645919,.0240795208099099,-5.393197168003956,76.23644804979286,,,,
evreg2,1.post,30.50291834009121,4.229440073312572,7.212046467465559,8.17842155803e-13,***,17.88816333374226,0,0,-2.131795871405527,-.2595770608235468,7.951584089517685,-1.880176641994515,-9.764248701659543,0,8.214665807610835
evreg2,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg2,1o.moderator,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg2,downup_ac,-9.60463186138168,3.755840862993089,-2.55725208062399,.0106341906455118,**,-2.131795871405527,0,0,14.10634058812867,.0731264000303664,-1.380599246564426,-.367710734731473,.3253068364972269,0,.5644752644720322
evreg2,wind_direction,-1.240440168967254,.0968014534649134,-12.81427214744108,5.41562983793e-36,***,-.2595770608235468,0,0,.0731264000303664,.0093705213929198,-.1653071856016702,.0057635225716399,-.0108082399844932,0,.0401315324516069
evreg2,av_wind_speed,51.26903630023192,6.422453793096908,7.982780094944051,2.57022200456e-15,***,7.951584089517685,0,0,-1.380599246564426,-.1653071856016702,41.24791272446487,-9.923235959442477,-8.878407228992398,0,9.937617845620869
evreg2,1.post#1.treat,13.2152090600674,9.893274623113623,1.335777036775342,.1817963473967716,,-1.880176641994515,0,0,-.367710734731473,.0057635225716399,-9.923235959442477,97.876882768344,16.25381563910886,0,-79.78428613499061
evreg2,1.post#1.moderator,-.484548234487031,5.79452557934616,-.0836217267232611,.933366783372348,,-9.764248701659543,0,0,.3253068364972269,-.0108082399844932,-8.878407228992398,16.25381563910886,33.57652668969695,0,-31.5241037138861
evreg2,1o.treat#1o.moderator,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg2,1.post#1.treat#1.moderator,22.11507997284366,15.29856417166076,1.445565722684609,.148478608155335,,8.214665807610835,0,0,.5644752644720322,.0401315324516069,9.937617845620869,-79.78428613499061,-31.5241037138861,0,234.0460657144224
evreg3,1.post,27.41787079419629,4.186160362467734,6.549646554398481,7.56576774349e-11,***,17.52393858029599,0,0,-1.23234400549879,-.2341410318355685,5.251510683733546,.5687684520930459,-9.879132330635496,0,6.258460341674239
evreg3,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg3,1o.moderator,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg3,downup_ac,-9.604054094638274,3.75589372968841,-2.557062256240948,.0106399733928645,**,-1.23234400549879,0,0,14.10673770871271,.0730904668240992,-1.371575088242617,-1.504383016200284,-1.957331956135036,0,2.405089725610794
evreg3,wind_direction,-1.240344649338943,.0967934417001705,-12.81434596758179,5.41092141452e-36,***,-.2341410318355685,0,0,.0730904668240992,.0093689703561643,-.1650181086238226,-.0167217034986678,-.0654479449887553,0,.070223087330651
evreg3,av_wind_speed,51.2375739233341,6.418180543838294,7.983192989565272,2.56193770607e-15,***,5.251510683733546,0,0,-1.371575088242617,-.1650181086238226,41.19304149330442,-11.97922000572114,-2.10317397761676,0,10.03029012895422
evreg3,1.post#1.treat,-1.597005575288307,7.310521111494225,-.2184530419831985,.8271016860801366,,.5687684520930459,0,0,-1.504383016200284,-.0167217034986678,-11.97922000572114,53.44371892160276,10.97895603954495,0,-38.10892748449439
evreg3,1.post#1.moderator,7.514951460957902,5.875525193526602,1.279026336103119,.2010578392742049,,-9.879132330635496,0,0,-1.957331956135036,-.0654479449887553,-2.10317397761676,10.97895603954495,34.52179629976581,0,-25.94883462509232
evreg3,1o.treat#1o.moderator,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg3,1.post#1.treat#1.moderator,37.16697834765306,12.82694610567362,2.897570321217249,.0038075647661307,***,6.258460341674239,0,0,2.405089725610794,.070223087330651,10.03029012895422,-38.10892748449439,-25.94883462509232,0,164.5305463978557
evreg4,1.post,23.2060273570465,4.277795114423927,5.424763630871452,6.61499709018e-08,***,18.29953104098922,0,0,-1.485188618050392,-.2219559514302246,4.517095464753734,-.6055273245298951,-11.21814148958161,0,7.10833634499706
evreg4,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg4,1o.moderator,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg4,downup_ac,-9.603687637831484,3.755989171933854,-2.556899713554503,.0106449272638346,**,-1.485188618050392,0,0,14.10745465968436,.0731095915945306,-1.37621485116994,-1.27079066728211,-1.137770300524299,0,1.828101732221956
evreg4,wind_direction,-1.240544467322966,.0967999664352757,-12.81554646150051,5.33492006408e-36,***,-.2219559514302246,0,0,.0731095915945306,.0093702335018705,-.1650807211311147,-.0245612164124144,-.0742984944100816,0,.0727853605721035
evreg4,av_wind_speed,51.22844375255193,6.418353003353481,7.981555973282545,2.59493820433e-15,***,4.517095464753734,0,0,-1.37621485116994,-.1650807211311147,41.19525527565664,-12.41527025869089,-.0713400735321741,0,9.931567918586374
evreg4,1.post#1.treat,.6880017997075107,7.310604524455088,.0941101105122073,.925032493283104,,-.6055273245298951,0,0,-1.27079066728211,-.0245612164124144,-12.41527025869089,53.44493851298321,12.61828239965051,0,-39.69889666267988
evreg4,1.post#1.moderator,16.63416302504135,5.697443482943916,2.919583682547798,.0035499380208957,***,-11.21814148958161,0,0,-1.137770300524299,-.0742984944100816,-.0713400735321741,12.61828239965051,32.4608622413401,0,-24.38772042937825
evreg4,1o.treat#1o.moderator,0,,,,,0,0,0,0,0,0,0,0,0,0
evreg4,1.post#1.treat#1.moderator,31.61399637844985,12.61757838760386,2.505551810917142,.0123164960769497,**,7.10833634499706,0,0,1.828101732221956,.0727853605721035,9.931567918586374,-39.69889666267988,-24.38772042937825,0,159.2032843673281
