reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bno.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,8o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-.4385445222388112,105.5254604550379,0,0,0,0,0,0,0,0,0,0,.0029519665272744,-.7857744865642499,.0333666548049114,-.1304055951325045,.0300406104104601,.0891721774541207,-.0728122103992789,-.1387417996932283,-.0739133336245566,-.1386910824823286,.0824709367242359
evreg1,av_wind_speed,287.0620572903343,105.5254604550379,0,0,0,0,0,0,0,0,0,0,-.7857744865642499,1207.858769352455,-45.21792289373037,34.03964028682604,-40.1679366487274,14.7380565144429,61.07464280262539,137.0944992667274,75.51351698797936,76.37369692933336,23.0250929150915
evreg1,1bn.relative_year_bin_aux#1.treat,15.39135869816332,105.5254604550379,0,0,0,0,0,0,0,0,0,0,.0333666548049114,-45.21792289373037,363.7068394153084,169.509995915994,161.9372960585638,126.8241489166759,130.5409605654621,120.1390350447327,120.2023653571843,119.324573546903,122.5487144612402
evreg1,2.relative_year_bin_aux#1.treat,30.27403815000694,105.5254604550379,0,0,0,0,0,0,0,0,0,0,-.1304055951325045,34.03964028682604,169.509995915994,332.402263234197,197.3853922743467,179.3197333868437,172.744119031641,172.1303073089512,172.1959257984078,172.33939398412,171.6477918076217
evreg1,3.relative_year_bin_aux#1.treat,-5.068484031099256,105.5254604550379,0,0,0,0,0,0,0,0,0,0,.0300406104104601,-40.1679366487274,161.9372960585638,197.3853922743467,280.0164542268992,176.918933078791,148.4828799920518,143.8190434152376,143.9077437413179,143.7509223098818,144.0498276457795
evreg1,4.relative_year_bin_aux#1.treat,2.562870334143206,105.5254604550379,0,0,0,0,0,0,0,0,0,0,.0891721774541207,14.7380565144429,126.8241489166759,179.3197333868437,176.918933078791,257.5869124169515,139.3821844002283,139.0420464535648,138.9617554310569,138.9337048539079,139.5001896700565
evreg1,6.relative_year_bin_aux#1.treat,52.03177998793055,105.5254604550379,0,0,0,0,0,0,0,0,0,0,-.0728122103992789,61.07464280262539,130.5409605654621,172.744119031641,148.4828799920518,139.3821844002283,306.4438637635712,165.9108372120619,160.9749636961385,139.874171481986,250.2019770035995
evreg1,7.relative_year_bin_aux#1.treat,57.81429390383508,105.5254604550379,0,0,0,0,0,0,0,0,0,0,-.1387417996932283,137.0944992667274,120.1390350447327,172.1303073089512,143.8190434152376,139.0420464535648,165.9108372120619,354.3712317769014,195.6310596514178,200.507783564541,97.40066588248932
evreg1,8.relative_year_bin_aux#1.treat,39.17850153896525,105.5254604550379,0,0,0,0,0,0,0,0,0,0,-.0739133336245566,75.51351698797936,120.2023653571843,172.1959257984078,143.9077437413179,138.9617554310569,160.9749636961385,195.6310596514178,375.994908557125,115.0388808470422,182.6145272915426
evreg1,9.relative_year_bin_aux#1.treat,42.42358296376537,105.5254604550379,0,0,0,0,0,0,0,0,0,0,-.1386910824823286,76.37369692933336,119.324573546903,172.33939398412,143.7509223098818,138.9337048539079,139.874171481986,200.507783564541,115.0388808470422,363.8107631647144,136.3247319250264
evreg1,10.relative_year_bin_aux#1.treat,43.77273382884499,105.5254604550379,0,0,0,0,0,0,0,0,0,0,.0824709367242359,23.0250929150915,122.5487144612402,171.6477918076217,144.0498276457795,139.5001896700565,250.2019770035995,97.40066588248932,182.6145272915426,136.3247319250264,417.1826270667761
