reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bn.relative_year_bin_aux,-198.6397525421912,105.5254604550379,2134.082176024631,1573.081202876914,1048.488612601761,725.1172715785447,-384.9199773261284,-702.2346969980008,-998.2922732522075,-1037.364534074159,-1114.915970244102,0,1.419478076139997,-51.73114783619427,-3.109449913071009,-45.81257585597785,9.713303771402645,23.6503435029463,-45.87628691354035,-69.14906327245016,-29.25800673187844,-58.52409848163913,-1.001467160048193
evreg1,2.relative_year_bin_aux,-139.4109571297894,105.5254604550379,1573.081202876914,1367.865630139447,1000.293984197937,700.2910258725991,-363.3894534181165,-663.0145853991756,-935.0735774416979,-947.6239232220546,-1002.460934916359,0,.993080247972047,-28.45043249317192,-2.26111686099025,-32.85457899111614,6.917370803801194,16.95995578475738,-32.72219575886417,-49.50218304989486,-20.90483948801766,-41.95341461969153,-.4893658058303319
evreg1,3.relative_year_bin_aux,-84.7074696826507,105.5254604550379,1048.488612601761,1000.293984197937,949.2291731305584,683.8153546825373,-350.110668101019,-637.753026763143,-893.6936325568479,-888.8326272416209,-928.9530147403206,0,.7026934974863378,-1.758432217978119,-1.710685829437604,-24.31580019068521,5.065402970708985,12.54867317358725,-24.13941789704709,-36.60411078915572,-15.44609641995937,-31.06773221788215,-.1749650635865126
evreg1,4.relative_year_bin_aux,-21.95680809049863,105.5254604550379,725.1172715785447,700.2910258725991,683.8153546825373,588.0969563906843,-257.4283707089342,-401.5373594689094,-532.3460227751491,-505.364322570685,-526.4856412719681,0,.3456594641365208,18.54903226331662,-.5603343809013452,-12.37328284677339,2.494293354323609,6.396479800254376,-11.40037872901468,-17.97679335613542,-7.428266369636474,-15.50839596764955,1.007456306894441
evreg1,6.relative_year_bin_aux,18.2843087360273,105.5254604550379,-384.9199773261284,-363.3894534181165,-350.110668101019,-257.4283707089342,621.3119734234306,777.1406136993502,900.7930369597001,953.1308667989064,971.4409910599843,0,-.3079678783306404,-4.372983718069258,-.0062956375571962,13.72416432844346,-2.394850839001492,-7.138782960648871,8.783392147837755,17.47147880103623,6.362780914781037,16.07886460162406,-5.161023114783397
evreg1,7.relative_year_bin_aux,11.21237613858365,105.5254604550379,-702.2346969980008,-663.0145853991756,-637.753026763143,-401.5373594689094,777.1406136993502,1755.330188696692,2126.432804472366,2230.902624444163,2262.559158707248,0,-.5545797806698856,6.643851588309265,.6342127441908628,21.95585416903188,-4.135354711461952,-11.38592359187177,17.11413015935464,29.98469757985004,11.66663660154992,26.64532223871299,-4.862171955540403
evreg1,8.relative_year_bin_aux,61.57585130946536,105.5254604550379,-998.2922732522075,-935.0735774416979,-893.6936325568479,-532.3460227751491,900.7930369597001,2126.432804472366,3045.339757325725,3138.338261893725,3187.295490667384,0,-.8934745799107037,36.63954199625009,1.212626037155588,32.35811632999049,-6.332474103893074,-16.76527709301744,27.03132341655191,45.34937165478937,18.05644784323792,39.75266995652771,-5.072054542113187
evreg1,9.relative_year_bin_aux,133.1718613597182,105.5254604550379,-1037.364534074159,-947.6239232220546,-888.8326272416209,-505.364322570685,953.1308667989064,2230.902624444163,3138.338261893725,3467.018725201591,3598.032706695056,0,-1.267172383457248,45.69673371215223,1.753059404061934,45.89404557712055,-8.996755525357718,-23.77502703231804,38.57779151888247,64.46788494054726,25.72748892320906,56.45419142031307,-6.976288798828606
evreg1,10.relative_year_bin_aux,171.5250460100238,105.5254604550379,-1114.915970244102,-1002.460934916359,-928.9530147403206,-526.4856412719681,971.4409910599843,2262.559158707248,3187.295490667384,3598.032706695056,4288.505691069817,0,-1.589063548145348,47.27142040238366,1.948225899701159,57.43700408980474,-11.22060472561283,-29.76337385668219,47.70222303575652,80.2375507098881,31.91095238885338,70.43566381808729,-9.441745980540386
evreg1,1o.treat,0,105.5254604550379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
