fe_id,control_sample,version,time,beta,se,lower,upper
1,never,original,-5,16.3947614215863,19.3285905095408,-21.4892759771136,54.2787988202862
1,never,original,-4,22.1955949693669,17.4972898165265,-12.0990930710251,56.4902830097589
1,never,original,-3,8.38599680565624,18.105932885777,-27.1016316504667,43.8736252617792
1,never,original,-2,5.49611391179452,18.7476374717972,-31.249255532928,42.2414833565171
1,never,original,-1,0,0,0,0
1,never,original,0,101.644649890549,21.2250004619536,60.0436489851196,143.245650795978
1,never,original,1,81.2104855312628,21.2302206026698,39.59925315003,122.821717912496
1,never,original,2,79.1939932643007,22.9279807358326,34.2551510220687,124.132835506533
1,never,original,3,41.5404465149296,21.148688694147,0.0890166744015559,82.9918763554577
1,never,original,4,39.5819557231036,22.215840011504,-3.96109069944436,83.1250021456515
1,never,rotated,-5,-4.19643032742074,19.3285905095408,-42.0804677261206,33.6876070712792
1,never,rotated,-4,6.7522011576116,17.4972898165265,-27.5424868827804,41.0468891980036
1,never,rotated,-3,-1.9095990688473,18.105932885777,-37.3972275249702,33.5780293872756
1,never,rotated,-2,0.348315974542755,18.7476374717972,-36.3970534701798,37.0936854192653
1,never,rotated,-1,0,0,0,0
1,never,rotated,0,106.7924478278,21.2250004619536,65.1914469223714,148.39344873323
1,never,rotated,1,91.5060814057663,21.2302206026698,49.8948490245335,133.117313786999
1,never,rotated,2,94.637387076056,22.9279807358326,49.698544833824,139.576229318288
1,never,rotated,3,62.1316382639367,21.148688694147,20.6802084234086,103.583068104465
1,never,rotated,4,65.3209454093624,22.215840011504,21.7778989868145,108.86399183191
2,never,original,-5,5.61351544191444,20.0425195942312,-33.6698229627787,44.8968538466076
2,never,original,-4,22.6959464710235,16.7865109756899,-10.2056150413287,55.5975079833757
2,never,original,-3,6.58570510619612,17.6916886793024,-28.0900047052366,41.2614149176289
2,never,original,-2,11.9913520353396,18.1957855274511,-23.6723875984646,47.6550916691438
2,never,original,-1,0,0,0,0
2,never,original,0,102.893337508014,20.7283396178302,62.2657918570666,143.520883158961
2,never,original,1,84.9288404957627,20.7737009177278,44.2123866970163,125.645294294509
2,never,original,2,80.6845108786816,22.6961300012943,36.2000960761449,125.168925681218
2,never,original,3,43.9694390828203,20.8859978573214,3.03288328247028,84.9059948831703
2,never,original,4,44.6664835604288,21.6554856815855,2.22173162452125,87.1112354963363
2,never,rotated,-5,-9.81377301521357,20.0425195942312,-49.0971114199067,29.4695653894796
2,never,rotated,-4,11.1254801281775,16.7865109756899,-21.7760813841747,44.0270416405297
2,never,rotated,-3,-1.12793912236788,17.6916886793024,-35.8036489338007,33.5477706890649
2,never,rotated,-2,8.13452992105763,18.1957855274511,-27.5292097127466,43.7982695548618
2,never,rotated,-1,0,0,0,0
2,never,rotated,0,106.750159622296,20.7283396178302,66.1226139713486,147.377705273243
2,never,rotated,1,92.6424847243267,20.7737009177278,51.9260309255803,133.358938523073
2,never,rotated,2,92.2549772215276,22.6961300012943,47.7705624189909,136.739392024064
2,never,rotated,3,59.3967275399483,20.8859978573214,18.4601717395983,100.333283340298
2,never,rotated,4,63.9505941318388,21.6554856815855,21.5058421959313,106.395346067746
3,never,original,-5,8.42804392278,21.4097137587067,-33.5349950442851,50.3910828898451
3,never,original,-4,16.4901139360897,18.8395257282624,-20.4353564913046,53.4155843634839
3,never,original,-3,4.7594361214954,18.4257201319898,-31.3549753372046,40.8738475801954
3,never,original,-2,3.45588274883036,19.6000145379403,-34.9601457455326,41.8719112431934
3,never,original,-1,0,0,0,0
