fe_id,control_sample,version,period,estimate,se,lower,upper
1,never,original,pre,13.118116777101,14.3055104352714,-14.920683676031,41.156917230233
1,never,original,post,68.6343061848291,15.4865064485203,38.2807535457294,98.9878588239288
1,never,rotated,pre,0.24862193397158,3.92616758270757,-7.44666652813526,7.94391039607842
1,never,rotated,post,84.0776999965844,26.8287831945262,31.4932849353131,136.662115057856
2,never,original,pre,11.7216297636184,13.7951365525886,-15.3168378794553,38.7600974066921
2,never,original,post,71.4285223051414,14.9537655062185,42.119141912953,100.73790269733
2,never,rotated,pre,2.07957447791341,3.84092359398283,-5.44863576629293,9.60778472211975
2,never,rotated,post,82.9989886479874,25.6475105110583,32.7298680463131,133.268109249662
3,never,original,pre,8.28336918229885,15.7873737477171,-22.6598833632267,39.2266217278244
3,never,original,post,57.5156170766213,14.91119913238,28.2896667771565,86.7415673760862
3,never,rotated,pre,0.270263141364676,3.95505964785331,-7.48165376842781,8.02218005115716
3,never,rotated,post,67.1313443257423,27.9090444521165,12.429617199594,121.833071451891
4,never,original,pre,29.6916534763276,16.6449026887174,-2.93235579355853,62.3156627462137
4,never,original,post,81.2611034319875,16.7354050507775,48.4597095324635,114.062497331511
4,never,rotated,pre,0.794294530750475,4.6369766415496,-8.29417968668675,9.8827687481877
4,never,rotated,post,115.93793416668,30.6870084098174,55.791397683438,176.084470649922
5,never,original,pre,27.9228657248081,17.0496181498643,-5.49438584892583,61.3401172985421
5,never,original,post,64.7231302887851,15.8855632347172,33.5874263487395,95.8588342288308
5,never,rotated,pre,1.3683734443086,4.01405429663031,-6.4991729770868,9.235919865704
5,never,rotated,post,96.5885210253846,31.2983673691333,35.2437209818833,157.933321068886
6,never,original,pre,10.644068149226,19.1642811875851,-26.9179229784408,48.2060592768928
6,never,original,post,54.182952656096,17.4351258957179,20.010105900489,88.3557994117031
6,never,rotated,pre,-0.736418612026809,4.24122621457963,-9.04922199260288,7.57638476854926
6,never,rotated,post,67.8395367695994,34.8310539670082,-0.429329005736705,136.108402544936
7,never,original,pre,10.6459194096905,14.8187537966526,-18.3988380317485,39.6906768511296
7,never,original,post,62.0871743094308,14.3405438262195,33.9797084100405,90.1946402088211
7,never,rotated,pre,2.23239208137814,3.84387796085636,-5.30160872190032,9.76639288465661
7,never,rotated,post,72.1834071034056,26.3277203305945,20.5810752554405,123.785738951371
8,never,original,pre,26.8569195662455,16.1585384550889,-4.81381580572868,58.5276549382196
8,never,original,post,83.1375386012367,16.3016839516168,51.1862380560677,115.088839146406
8,never,rotated,pre,2.76223349615518,4.54150207900683,-6.13911057869821,11.6635775710086
8,never,rotated,post,112.051161885345,29.5187316163998,54.1944479172014,169.907875853489
9,never,original,pre,5.47497031761043,16.8085095638946,-27.4697084276231,38.4196490628439
9,never,original,post,49.3678816906347,15.2680604434863,19.4424832214016,79.2932801598679
9,never,rotated,pre,1.35147592274949,3.99945832032428,-6.48746238508609,9.19041423058507
9,never,rotated,post,54.3160749644679,30.2456617920154,-4.96542214788224,113.597572076818
10,never,original,pre,10.5116437884775,18.9915912798316,-26.7118751199924,47.7351626969474
10,never,original,post,53.8388078475998,17.1987087681311,20.1293386620628,87.5482770331369
10,never,rotated,pre,-1.05550688423063,4.23308413773608,-9.35235179419335,7.2413380257321
10,never,rotated,post,67.7193886548496,34.4627542476194,0.172390329515608,135.266386980184
11,never,original,pre,22.8303235146306,17.4723962911793,-11.4155732160809,57.0762202453421
11,never,original,post,80.1703653889289,17.4636269996314,45.9416564696514,114.399074308206
11,never,rotated,pre,1.07274248804375,4.68789417736246,-8.11553009958668,10.2610150756742
11,never,rotated,post,106.279462620833,32.0462294047491,43.4688529875248,169.090072254141
12,never,original,pre,-8.64672110537271,18.302847533147,-44.5203022703408,27.2268600595954
12,never,original,post,37.1637561130119,16.2182078554747,5.37606871628148,68.9514435097422
12,never,rotated,pre,-0.115852141467077,4.28954212774166,-8.52335471184074,8.29165042890659
12,never,rotated,post,26.9267133563251,33.0315895590102,-37.815202179335,91.6686288919852
13,never,original,pre,10.6602921636708,19.1729398234997,-26.9186698903887,48.2392542177302
13,never,original,post,54.2339154052607,17.4458942617686,20.0399626521942,88.4278681583272
13,never,rotated,pre,-0.725891615414376,4.24238108608483,-9.04095854414064,7.58917531331189
13,never,rotated,post,67.8973359401629,34.8485233952939,-0.405769914613174,136.200441794939
14,never,original,pre,23.6207031251609,17.4801443404903,-10.6403797822002,57.8817860325219
14,never,original,post,62.6033723021933,16.4104237985945,30.4389416569481,94.7678029474385
14,never,rotated,pre,1.42434356562216,4.74446774417086,-7.87481321295272,10.723500344197
14,never,rotated,post,89.2390037736397,31.7445454502825,27.0196946910861,151.458312856193
15,never,original,pre,10.6440681482583,19.1647984249793,-26.9189367647012,48.2070730612178
15,never,original,post,54.182952655117,17.4355973248098,20.0091818984897,88.3567234117442
15,never,rotated,pre,-0.736418612117079,4.24134119193846,-9.04944734831647,7.57661012408231
15,never,rotated,post,67.8395367675675,34.8319945698683,-0.431172589374384,136.110246124509
16,never,original,pre,10.6440681492265,19.1661456893345,-26.9215774018691,48.209713700322
16,never,original,post,54.1829526560968,17.4368221671526,20.0067812084777,88.3591241037158
16,never,rotated,pre,-0.736418612026758,4.24163884543281,-9.05003074907507,7.57719352502155
16,never,rotated,post,67.8395367696007,34.8344426963025,-0.435970915152168,136.115044454354
17,never,original,pre,25.1323855212907,16.5447793925621,-7.29538208813112,57.5601531307124
17,never,original,post,83.9456904886943,16.9260553343703,50.7706220333284,117.12075894406
17,never,rotated,pre,3.25981717810644,4.57538484503649,-5.70793711816509,12.227571474378
17,never,rotated,post,110.192772500515,30.5294207472261,50.3551078359521,170.030437165079
18,never,original,pre,-17.6150293009656,18.3474882375663,-53.5761062465956,18.3460476446644
18,never,original,post,29.9833173997267,16.1529460312759,-1.67645682157395,61.6430916210274
18,never,rotated,pre,-2.81169115066152,4.35158232813827,-11.3407925138125,5.71741021248949
18,never,rotated,post,12.2193116193618,33.0952881520836,-52.6474531587219,77.0860763974456
19,never,original,pre,10.497107993576,18.9909491854762,-26.7251524099573,47.7193683971093
19,never,original,post,53.8522778913418,17.1966071126146,20.1469279506172,87.5576278320664
19,never,rotated,pre,-1.06267962901288,4.23344935833766,-9.36024037135468,7.23488111332892
19,never,rotated,post,67.7240230384485,34.4585093007418,0.1853448089946,135.262701267902
