source,quantity,method,estimate,se,lower95,upper95,p_value,treated_control_covariance,treated_control_correlation
Saved Stata FE01,Pre expression,Joint covariance from one regression,4.27106308502413,4.7604923349789,-5.06458843652749,13.6067146065758,0.369718377383728,5.96699911367626,0.235826383144592
Saved Stata FE01,Control-post expression,Joint covariance from one regression,3.3680808792827,3.94415465047324,-4.36667653086417,11.1028382894296,0.3932320827694,5.96699911367626,0.235826383144592
Saved Stata FE01,Treated-post expression,Joint covariance from one regression,14.6401031147784,6.41519183519865,2.05947254065455,27.2207336889023,0.0225808375331524,5.96699911367626,0.235826383144592
Saved Stata FE01,Treated - control: proper joint test,Joint covariance from one regression,11.2720222354957,6.69156513544452,-1.8505953095972,24.3946397805886,0.0922279571633199,5.96699911367626,0.235826383144592
Saved Stata FE01,Treated - control: covariance set to zero,Diagnostic only; incorrectly assumes independence,11.2720222354957,7.53067342202868,-3.4961441312677,26.0401886022591,0.134588343738657,5.96699911367626,0.235826383144592
R re-estimation FE01,Pre expression,Joint covariance from one regression,4.27106307980778,4.7604918039422,-5.06458740034452,13.6067135599601,0.369718324584909,5.96698817972957,0.235825886408765
R re-estimation FE01,Control-post expression,Joint covariance from one regression,3.36808086787654,3.94415449538862,-4.36667623813877,11.1028379738918,0.393232065770372,5.96698817972957,0.235825886408765
R re-estimation FE01,Treated-post expression,Joint covariance from one regression,14.6401031075947,6.41519384495108,2.05946859220863,27.2207376229807,0.0225808798761649,5.96698817972957,0.235825886408765
R re-estimation FE01,Treated - control: proper joint test,Joint covariance from one regression,11.2720222397181,6.69156860476923,-1.85060210895818,24.3946465883944,0.092228125707651,5.96698817972957,0.235825886408765
R re-estimation FE01,Treated - control: covariance set to zero,Diagnostic only; incorrectly assumes independence,11.2720222397181,7.53067505286163,-3.49614732522041,26.0401918046566,0.134588427955722,5.96698817972957,0.235825886408765
