reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg1,1bno.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,5o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,8o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,11o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,12o.relative_year_bin_aux,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-.0383360889360798,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,.0001058027666987,.0081280671746299,.0013403620892003,.00086822439595,.0009049004609454,.0009752141227568,.0001056414062426,-.0004892743809185,.0025330031538402,.0032680771645062,.0033317503879909,.003463229087944,.004017169780967
evreg1,av_wind_speed,-23.52350850723402,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,.0081280671746299,238.1327787767355,7.412374382912735,4.348203820857641,3.243697375595201,1.490563770861661,2.943501990713874,7.800586018656941,6.508321906506815,-2.851323725256127,-1.728665239993198,-8.866697168049667,-8.882027743815549
evreg1,1bn.relative_year_bin_aux#1.treat,6.144112189424422,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,.0013403620892003,7.412374382912735,25.75027963090994,14.88317944030726,15.21057525890093,13.39842567950218,13.77348188070133,15.44160187340423,13.4095299579891,12.70294313810605,12.76896428614373,12.5512057188436,12.41676856444495
evreg1,2.relative_year_bin_aux#1.treat,4.027547727747434,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,.00086822439595,4.348203820857641,14.88317944030726,19.51355905042783,15.98856377122239,14.20668278358718,14.07084047254679,15.13591898442623,13.61899855407993,13.0488243938596,13.14619490405313,13.04438325454577,12.89433488762179
evreg1,3.relative_year_bin_aux#1.treat,-1.221081624261055,149.5821710301246,0,0,0,0,0,0,0,0,0,0,0,0,.0009049004609454,3.243697375595201,15.21057525890093,15.98856377122239,23.82598617888033,14.76317825710805,14.5257494412677,14.47876759082135,13.00800957922178,13.04441196348274,13.4056664833818,13.46732502169232,13.4450759834407
