term,Estimate,Std. Error,t value,Pr(>|t|)
relative_year::-5:treat,-16.8192902373009,7.68199723239347,-2.1894423713637,0.0288441635241768
relative_year::-4:treat,-3.89954009514049,5.58465652560542,-0.698259611358597,0.485211616809072
relative_year::-3:treat,-5.66663984915639,5.83721317017967,-0.970778295044169,0.331943215615278
relative_year::-2:treat,-6.22410378433299,6.04807368217704,-1.02910515172371,0.303731877743106
relative_year::0:treat,4.67389757003591,6.28668355254105,0.743459970741926,0.457414913991812
relative_year::1:treat,11.7006600440614,6.43283514182616,1.81889630094574,0.0692896663026726
relative_year::2:treat,4.70677828280855,7.87787051443385,0.597468348100515,0.550358681289479
relative_year::3:treat,5.49140275016965,7.62408927380873,0.720269995923898,0.471562790092398
relative_year::4:treat,1.56224572183017,10.5950725315909,0.147450214915667,0.88281269956324
