cohort_id,relative_year,treat,n_t,n_c,N_t,N_c,stack_weight
7,-4,0,8904,63888,405159,584997,0.201230592928086
7,-4,1,8904,63888,405159,584997,1
7,-3,0,8904,63888,511804,694786,0.18919656250358
7,-3,1,8904,63888,511804,694786,1
7,-2,0,8904,63888,564924,747156,0.184326221821765
7,-2,1,8904,63888,564924,747156,1
7,-1,0,8904,63888,564924,747156,0.184326221821765
7,-1,1,8904,63888,564924,747156,1
7,0,0,8904,99936,564924,1079544,0.170260345851117
7,0,1,8904,99936,564924,1079544,1
7,1,0,8904,99936,564924,1079544,0.170260345851117
7,1,1,8904,99936,564924,1079544,1
7,2,0,6678,74952,531114,995583,0.167014013088622
7,2,1,6678,74952,531114,995583,1
8,-5,0,126336,158004,301922,467852,1.23900417950014
8,-5,1,126336,158004,301922,467852,1
8,-4,0,126336,158004,405159,584997,1.15448206123563
8,-4,1,126336,158004,405159,584997,1
8,-3,0,126336,158004,511804,694786,1.08544150409519
8,-3,1,126336,158004,511804,694786,1
8,-2,0,126336,158004,564924,747156,1.05749982352145
8,-2,1,126336,158004,564924,747156,1
8,-1,0,126336,158004,564924,747156,1.05749982352145
8,-1,1,126336,158004,564924,747156,1
8,0,0,126336,235908,564924,1079544,1.02337493558241
8,0,1,126336,235908,564924,1079544,1
8,1,0,126336,235908,564924,1079544,1.02337493558241
8,1,1,126336,235908,564924,1079544,1
8,2,0,94752,176931,531114,995583,1.00386237342303
8,2,1,94752,176931,531114,995583,1
